 time                   v(gate)                v(fault)               v(tripped)             v(xg.n_34)             v(xg.n_35)            
 7.538418029314135e-07  1.199999980791840e+00  1.199999980791844e+00  4.583660849382960e-08  3.896000105524704e-09  3.299999990371548e+00 
 7.539418029314135e-07  1.199999980791865e+00  1.199999980791853e+00  4.583660451767550e-08  3.896001079113821e-09  3.299999990371542e+00 
 7.540418029314135e-07  1.199999980791873e+00  1.199999980791816e+00  4.583660847559264e-08  3.896003510562536e-09  3.299999990371555e+00 
 7.541418029314135e-07  1.199999980791881e+00  1.199999980791815e+00  4.583660785169964e-08  3.896002722353705e-09  3.299999990371559e+00 
 7.542418029314136e-07  1.199999980791890e+00  1.199999980791817e+00  4.583660458533098e-08  3.896001757367571e-09  3.299999990371562e+00 
 7.543418029314136e-07  1.199999980791871e+00  1.199999980791798e+00  4.583660651605716e-08  3.896002199035026e-09  3.299999990371565e+00 
 7.544418029314136e-07  1.199999980791874e+00  1.199999980791827e+00  4.583660672614826e-08  3.896000577428591e-09  3.299999990371548e+00 
 7.545418029314136e-07  1.199999980791880e+00  1.199999980791812e+00  4.583660550438960e-08  3.895998309899988e-09  3.299999990371544e+00 
 7.546418029314136e-07  1.199999980791862e+00  1.199999980791815e+00  4.583660632858274e-08  3.895998757815181e-09  3.299999990371533e+00 
 7.547418029314136e-07  1.199999980791863e+00  1.199999980791793e+00  4.583660551123064e-08  3.896000054933448e-09  3.299999990371540e+00 
 7.548418029314136e-07  1.199999980791840e+00  1.199999980791822e+00  4.583660750888649e-08  3.896005604618181e-09  3.299999990371554e+00 
 7.549418029314136e-07  1.199999980791840e+00  1.199999980791833e+00  4.583660720631848e-08  3.896003126770082e-09  3.299999990371552e+00 
 7.550418029314136e-07  1.199999980791868e+00  1.199999980791844e+00  4.583660536756926e-08  3.896001451876794e-09  3.299999990371548e+00 
 7.551418029314136e-07  1.199999980791877e+00  1.199999980791860e+00  4.583660789381722e-08  3.896001308613367e-09  3.299999990371539e+00 
 7.552418029314136e-07  1.199999980791886e+00  1.199999980791821e+00  4.583660748168161e-08  3.896002230783185e-09  3.299999990371550e+00 
 7.553418029314136e-07  1.199999980791896e+00  1.199999980791822e+00  4.583660724294733e-08  3.896001469164485e-09  3.299999990371544e+00 
 7.554418029314136e-07  1.199999980791878e+00  1.199999980791798e+00  4.583660372439411e-08  3.896000506932075e-09  3.299999990371536e+00 
 7.555418029314137e-07  1.199999980791857e+00  1.199999980791832e+00  4.583660875595197e-08  3.896002998524570e-09  3.299999990371546e+00 
 7.556418029314137e-07  1.199999980791856e+00  1.199999980791846e+00  4.583660833430170e-08  3.896005177201631e-09  3.299999990371563e+00 
 7.557418029314137e-07  1.199999980791858e+00  1.199999980791860e+00  4.583660612561290e-08  3.896001550908828e-09  3.299999990371569e+00 
 7.558418029314137e-07  1.199999980791834e+00  1.199999980791820e+00  4.583660549875098e-08  3.896000947802994e-09  3.299999990371576e+00 
 7.559418029314137e-07  1.199999980791833e+00  1.199999980791818e+00  4.583660519783972e-08  3.895998702997451e-09  3.299999990371568e+00 
 7.560418029314137e-07  1.199999980791860e+00  1.199999980791825e+00  4.583660627136143e-08  3.896000341290939e-09  3.299999990371551e+00 
 7.561418029314137e-07  1.199999980791842e+00  1.199999980791834e+00  4.583660693572336e-08  3.896001018272914e-09  3.299999990371544e+00 
 7.562418029314137e-07  1.199999980791868e+00  1.199999980791821e+00  4.583660755350566e-08  3.896003401602464e-09  3.299999990371560e+00 
 7.563418029314137e-07  1.199999980791877e+00  1.199999980791800e+00  4.583660720424197e-08  3.896001573580699e-09  3.299999990371562e+00 
 7.564418029314137e-07  1.199999980791886e+00  1.199999980791828e+00  4.583660611395545e-08  3.896004369136326e-09  3.299999990371570e+00 
 7.565418029314137e-07  1.199999980791870e+00  1.199999980791815e+00  4.583660635113300e-08  3.896000263488443e-09  3.299999990371553e+00 
 7.566418029314137e-07  1.199999980791873e+00  1.199999980791817e+00  4.583660586028456e-08  3.896001488501221e-09  3.299999990371551e+00 
 7.567418029314137e-07  1.199999980791853e+00  1.199999980791824e+00  4.583660709545697e-08  3.895999752107666e-09  3.299999990371548e+00 
 7.568418029314138e-07  1.199999980791852e+00  1.199999980791833e+00  4.583660757947227e-08  3.896001013263178e-09  3.299999990371545e+00 
 7.569418029314138e-07  1.199999980791852e+00  1.199999980791816e+00  4.583660472715631e-08  3.896002897613926e-09  3.299999990371557e+00 
 7.570418029314138e-07  1.199999980791828e+00  1.199999980791819e+00  4.583660664800303e-08  3.896003546999263e-09  3.299999990371559e+00 
 7.571418029314138e-07  1.199999980791850e+00  1.199999980791801e+00  4.583660714365103e-08  3.896001806725573e-09  3.299999990371560e+00 
 7.572418029314138e-07  1.199999980791854e+00  1.199999980791805e+00  4.583660766606334e-08  3.896001007821241e-09  3.299999990371565e+00 
 7.573418029314138e-07  1.199999980791856e+00  1.199999980791807e+00  4.583660526552750e-08  3.895999618129549e-09  3.299999990371547e+00 
 7.574418029314138e-07  1.199999980791858e+00  1.199999980791784e+00  4.583660509821119e-08  3.895998150143183e-09  3.299999990371540e+00 
 7.575418029314138e-07  1.199999980791861e+00  1.199999980791782e+00  4.583660588629294e-08  3.896002937615463e-09  3.299999990371553e+00 
 7.576418029314138e-07  1.199999980791864e+00  1.199999980791810e+00  4.583660698151591e-08  3.896000559978815e-09  3.299999990371550e+00 
 7.577418029314138e-07  1.199999980791868e+00  1.199999980791796e+00  4.583660831805375e-08  3.895999827490053e-09  3.299999990371545e+00 
 7.578418029314138e-07  1.199999980791874e+00  1.199999980791826e+00  4.583660749303640e-08  3.896002612585124e-09  3.299999990371539e+00 
 7.579418029314138e-07  1.199999980791880e+00  1.199999980791809e+00  4.583660444948439e-08  3.896003220402908e-09  3.299999990371548e+00 
