 v-sweep         ic              ib              beta           
 5.78000000e-01  1.50549366e-10  4.21831121e-13  3.56894878e+02 
 5.79000000e-01  1.58141606e-10  4.36718533e-13  3.62113338e+02 
 5.80000000e-01  1.66116724e-10  4.52190549e-13  3.67360010e+02 
 5.81000000e-01  1.74494021e-10  4.68266250e-13  3.72638475e+02 
 5.82000000e-01  1.83293800e-10  4.84952576e-13  3.77962318e+02 
 5.83000000e-01  1.92537333e-10  5.02320651e-13  3.83295675e+02 
 5.84000000e-01  2.02247028e-10  5.20354862e-13  3.88671352e+02 
 5.85000000e-01  2.12446371e-10  5.39105517e-13  3.94071966e+02 
 5.86000000e-01  2.23160070e-10  5.58598636e-13  3.99499848e+02 
 5.87000000e-01  2.34414050e-10  5.78867179e-13  4.04953085e+02 
 5.88000000e-01  2.46235575e-10  5.99949312e-13  4.10427298e+02 
 5.89000000e-01  2.58653246e-10  6.21876259e-13  4.15923975e+02 
 5.90000000e-01  2.71697142e-10  6.44677511e-13  4.21446594e+02 
 5.91000000e-01  2.85398834e-10  6.68387764e-13  4.26995899e+02 
 5.92000000e-01  2.99791491e-10  6.93062528e-13  4.32560526e+02 
 5.93000000e-01  3.14909981e-10  7.18729559e-13  4.38148086e+02 
 5.94000000e-01  3.30790875e-10  7.45451310e-13  4.43745783e+02 
 5.95000000e-01  3.47472631e-10  7.73241657e-13  4.49371329e+02 
 5.96000000e-01  3.64995647e-10  8.02175195e-13  4.55007397e+02 
 5.97000000e-01  3.83402331e-10  8.32281416e-13  4.60664295e+02 
 5.98000000e-01  4.02737259e-10  8.63633178e-13  4.66329073e+02 
 5.99000000e-01  4.23047226e-10  8.96265176e-13  4.72011228e+02 
 6.00000000e-01  4.44381419e-10  9.30232924e-13  4.77709838e+02 
 6.01000000e-01  4.66791477e-10  9.65609281e-13  4.83416519e+02 
 6.02000000e-01  4.90331659e-10  1.00245323e-12  4.89131707e+02 
 6.03000000e-01  5.15058943e-10  1.04082028e-12  4.94858674e+02 
 6.04000000e-01  5.41033221e-10  1.08077809e-12  5.00596030e+02 
 6.05000000e-01  5.68317348e-10  1.12240126e-12  5.06340620e+02 
 6.06000000e-01  5.96977385e-10  1.16576437e-12  5.12090951e+02 
 6.07000000e-01  6.27082723e-10  1.21094724e-12  5.17844795e+02 
 6.08000000e-01  6.58706255e-10  1.25801924e-12  5.23605867e+02 
 6.09000000e-01  6.91924520e-10  1.30706713e-12  5.29371832e+02 
 6.10000000e-01  7.26817949e-10  1.35818804e-12  5.35137940e+02 
 6.11000000e-01  7.63471012e-10  1.41146872e-12  5.40905371e+02 
 6.12000000e-01  8.01972453e-10  1.46700111e-12  5.46674741e+02 
 6.13000000e-01  8.42415473e-10  1.52488583e-12  5.52444947e+02 
 6.14000000e-01  8.84897993e-10  1.58523391e-12  5.58212884e+02 
 6.15000000e-01  9.29522842e-10  1.64814596e-12  5.63980899e+02 
 6.16000000e-01  9.76398070e-10  1.71374690e-12  5.69744617e+02 
 6.17000000e-01  1.02563715e-09  1.78216683e-12  5.75500081e+02 
 6.18000000e-01  1.07735929e-09  1.85349596e-12  5.81257967e+02 
 6.19000000e-01  1.13168972e-09  1.92790084e-12  5.87006186e+02 
 6.20000000e-01  1.18875993e-09  2.00549596e-12  5.92751098e+02 
 6.21000000e-01  1.24870813e-09  2.08644614e-12  5.98485675e+02 
 6.22000000e-01  1.31167940e-09  2.17088149e-12  6.04215114e+02 
 6.23000000e-01  1.37782623e-09  2.25897375e-12  6.09934590e+02 
 6.24000000e-01  1.44730874e-09  2.35087560e-12  6.15646669e+02 
 6.25000000e-01  1.52029512e-09  2.44676400e-12  6.21349308e+02 
 6.26000000e-01  1.59696209e-09  2.54684191e-12  6.27036205e+02 
 6.27000000e-01  1.67749522e-09  2.65126723e-12  6.32714502e+02 
 6.28000000e-01  1.76208951e-09  2.76024986e-12  6.38380435e+02 
 6.29000000e-01  1.85094973e-09  2.87399626e-12  6.44033449e+02 
 6.30000000e-01  1.94429100e-09  2.99271636e-12  6.49674331e+02 
 6.31000000e-01  2.04233928e-09  3.11665304e-12  6.55298889e+02 
 6.32000000e-01  2.14533194e-09  3.24602318e-12  6.60910851e+02 
 6.33000000e-01  2.25351832e-09  3.38108700e-12  6.66507047e+02 
 6.34000000e-01  2.36716028e-09  3.52210477e-12  6.72086847e+02 
 6.35000000e-01  2.48653299e-09  3.66935232e-12  6.77649015e+02 
 6.36000000e-01  2.61192539e-09  3.82308992e-12  6.83197476e+02 
 6.37000000e-01  2.74364103e-09  3.98365415e-12  6.88724704e+02 
 6.38000000e-01  2.88199879e-09  4.15131394e-12  6.94237736e+02 
 6.39000000e-01  3.02733360e-09  4.32642496e-12  6.99730984e+02 
 6.40000000e-01  3.17999728e-09  4.50932730e-12  7.05204363e+02 
 6.41000000e-01  3.34035941e-09  4.70036621e-12  7.10659396e+02 
 6.42000000e-01  3.50880819e-09  4.89990782e-12  7.16096776e+02 
 6.43000000e-01  3.68575140e-09  5.10836506e-12  7.21512921e+02 
 6.44000000e-01  3.87161736e-09  5.32613876e-12  7.26908842e+02 
 6.45000000e-01  4.06685604e-09  5.55366790e-12  7.32282900e+02 
 6.46000000e-01  4.27194006e-09  5.79137587e-12  7.37638197e+02 
 6.47000000e-01  4.48736585e-09  6.03975199e-12  7.42971872e+02 
 6.48000000e-01  4.71365492e-09  6.29928733e-12  7.48283842e+02 
 6.49000000e-01  4.95135506e-09  6.57049551e-12  7.53574073e+02 
 6.50000000e-01  5.20104168e-09  6.85391795e-12  7.58842127e+02 
 6.51000000e-01  5.46331919e-09  7.15011687e-12  7.64088096e+02 
 6.52000000e-01  5.73882249e-09  7.45966323e-12  7.69313883e+02 
 6.53000000e-01  6.02821849e-09  7.78321643e-12  7.74515079e+02 
 6.54000000e-01  6.33220774e-09  8.12139778e-12  7.79694322e+02 
 6.55000000e-01  6.65152609e-09  8.47489796e-12  7.84850286e+02 
 6.56000000e-01  6.98694650e-09  8.84443200e-12  7.89982499e+02 
 6.57000000e-01  7.33928092e-09  9.23070628e-12  7.95094189e+02 
 6.58000000e-01  7.70938222e-09  9.63454516e-12  8.00181232e+02 
 6.59000000e-01  8.09814628e-09  1.00567297e-11  8.05246489e+02 
 6.60000000e-01  8.50651416e-09  1.04981537e-11  8.10286682e+02 
 6.61000000e-01  8.93547436e-09  1.09596852e-11  8.15303928e+02 
 6.62000000e-01  9.38606521e-09  1.14422266e-11  8.20300591e+02 
 6.63000000e-01  9.85937741e-09  1.19468351e-11  8.25271075e+02 
 6.64000000e-01  1.03565567e-08  1.24744862e-11  8.30219095e+02 
 6.65000000e-01  1.08788064e-08  1.30262633e-11  8.35144057e+02 
