 frequency                ir                       ii                       vr                       vi                      
 6.45654229034652190e+01 -2.02243007497299176e-14  5.77159158630940897e-13  9.02387720812303229e-04  3.12815493983601466e-05 
 6.60693448007592536e+01 -2.12661716036434412e-14  5.90602957249768351e-13  9.02387756652189843e-04  3.20101902863040817e-05 
 6.76082975391978209e+01 -2.23468772241226799e-14  6.04359905643261615e-13  9.02387794181169767e-04  3.27558034007750253e-05 
 6.91830970918932877e+01 -2.35063704612237245e-14  6.18437296765096548e-13  9.02387833480178259e-04  3.35187840757602916e-05 
 7.07945784384134242e+01 -2.47016423700167909e-14  6.32842595093120828e-13  9.02387874630483644e-04  3.42995368536091189e-05 
 7.24435960074986269e+01 -2.59367925899665897e-14  6.47583439170452795e-13  9.02387917719460475e-04  3.50984756998217799e-05 
 7.41310241300913617e+01 -2.72463800653210964e-14  6.62667644993613237e-13  9.02387962839701352e-04  3.59160242223460050e-05 
 7.58577575029179769e+01 -2.86109636958749303e-14  6.78103210671206604e-13  9.02388010086241366e-04  3.67526158962195869e-05 
 7.76247116628687621e+01 -3.00549177017182811e-14  6.93898321082602213e-13  9.02388059559000588e-04  3.76086942934168833e-05 
 7.94328234724277280e+01 -3.15545319365916066e-14  7.10061350842549569e-13  9.02388111367335988e-04  3.84847133181638606e-05 
 8.12830516164094945e+01 -3.31210956556159120e-14  7.26600868959859569e-13  9.02388165613388082e-04  3.93811374470679970e-05 
 8.31763771102666567e+01 -3.47669484347667979e-14  7.43525647731250452e-13  9.02388222416727892e-04  4.02984419762125384e-05 
 8.51138038202371945e+01 -3.64880245158974437e-14  7.60844660623765431e-13  9.02388281896371325e-04  4.12371132725478949e-05 
 8.70963589956076021e+01 -3.83067126738696750e-14  7.78567089898069215e-13  9.02388344178883806e-04  4.21976490320321007e-05 
 8.91250938133740789e+01 -4.01834124243334589e-14  7.96702333384711591e-13  9.02388409397714142e-04  4.31805585434325505e-05 
 9.12010839355904892e+01 -4.21806280225325847e-14  8.15260008719292158e-13  9.02388477690085899e-04  4.41863629583963841e-05 
 9.33254300796986058e+01 -4.42404088623477021e-14  8.34249952918943855e-13  9.02388549200550116e-04  4.52155955676775993e-05 
 9.54992586021430867e+01 -4.64108325338649652e-14  8.53682236781893060e-13  9.02388624081207347e-04  4.62688020840505902e-05 
 9.77237220955805412e+01 -4.86783871675097735e-14  8.73567165734492543e-13  9.02388702491041528e-04  4.73465409314981317e-05 
 9.99999999999994600e+01 -5.10648245693676173e-14  8.93915280254737937e-13  9.02388784595808957e-04  4.84493835414347127e-05 
 1.02329299228074859e+02 -5.35534480259822199e-14  9.14737372812926683e-13  9.02388870571591006e-04  4.95779146556870356e-05 
 1.04712854805089378e+02 -5.61639290305206151e-14  9.36044484060009766e-13  9.02388960598354828e-04  5.07327326361835807e-05 
 1.07151930523760043e+02 -5.89058695484728778e-14  9.57847911297921191e-13  9.02389054867169804e-04  5.19144497827822248e-05 
 1.09647819614317882e+02 -6.17552883830363442e-14  9.80159216526390979e-13  9.02389153579208347e-04  5.31236926575634057e-05 
 1.12201845430195704e+02 -6.47488247913774462e-14  1.00299023025459343e-12  9.02389256943747498e-04  5.43611024170617327e-05 
 1.14815362149687616e+02 -6.78988928883711429e-14  1.02635305912444365e-12  9.02389365179390168e-04  5.56273351522876513e-05 
 1.17489755493952273e+02 -7.11749588303348113e-14  1.05026009183982819e-12  9.02389478529608269e-04  5.69230622365453684e-05 
 1.20226443461740587e+02 -7.46192319630960277e-14  1.07472400424880269e-12  9.02389597207120531e-04  5.82489706814685217e-05 
 1.23026877081237430e+02 -7.82213107220625092e-14  1.09975776908447084e-12  9.02389721478824569e-04  5.96057635013505852e-05 
 1.25892541179415971e+02 -8.19983458303502610e-14  1.12537466274124790e-12  9.02389851607843241e-04  6.09941600855976566e-05 
 1.28824955169312631e+02 -8.59404439431353528e-14  1.15158826739244309e-12  9.02389987867735499e-04  6.24148965802918639e-05 
 1.31825673855639934e+02 -9.00722367785239397e-14  1.17841248369575380e-12  9.02390130550267955e-04  6.38687262788333309e-05 
 1.34896288259164550e+02 -9.44078596223398014e-14  1.20586153672249622e-12  9.02390279957421271e-04  6.53564200209487558e-05 
 1.38038426460287639e+02 -9.89442970372907127e-14  1.23394998103980302e-12  9.02390436405164920e-04  6.68787666014246255e-05 
 1.41253754462274571e+02 -1.03695081221742008e-13  1.26269271426315052e-12  9.02390600227009898e-04  6.84365731886792122e-05 
 1.44543977074591879e+02 -1.08659602311971665e-13  1.29210497451525980e-12  9.02390771769123745e-04  7.00306657521954432e-05 
 1.47910838816819847e+02 -1.13865236412834941e-13  1.32220236075488752e-12  9.02390951394993479e-04  7.16618895008803319e-05 
 1.51356124843619909e+02 -1.19325793549503872e-13  1.35300083447089173e-12  9.02391139488312177e-04  7.33311093313213737e-05 
 1.54881661891247205e+02 -1.25038068549306047e-13  1.38451672730552844e-12  9.02391336448538084e-04  7.50392102859433733e-05 
 1.58489319246110398e+02 -1.30999920112950807e-13  1.41676675206587992e-12  9.02391542687119852e-04  7.67870980219646315e-05 
 1.62181009735892019e+02 -1.37266832286615098e-13  1.44976801034715124e-12  9.02391758644705000e-04  7.85756992927964516e-05 
