 time                   v(d)                   v(g)                  
 5.691536329916994e-06  8.521010519123155e-02  4.602022498060159e+00 
 5.692536329916994e-06  8.520645042034500e-02  4.602704456482974e+00 
 5.693536329916993e-06  8.520279725097349e-02  4.603386417272698e+00 
 5.694536329916993e-06  8.519914568220645e-02  4.604068380428697e+00 
 5.695536329916993e-06  8.519549571287308e-02  4.604750345950066e+00 
 5.696536329916992e-06  8.519184734207610e-02  4.605432313836187e+00 
 5.697536329916992e-06  8.518820056865989e-02  4.606114284086172e+00 
 5.698536329916992e-06  8.518455539168923e-02  4.606796256699350e+00 
 5.699536329916991e-06  8.518091181001622e-02  4.607478231674847e+00 
 5.700536329916991e-06  8.517726982270897e-02  4.608160209012005e+00 
 5.701536329916991e-06  8.517362942868742e-02  4.608842188710006e+00 
 5.702536329916990e-06  8.516999062690470e-02  4.609524170768077e+00 
 5.703536329916990e-06  8.516635341638479e-02  4.610206155185506e+00 
 5.704536329916990e-06  8.516271779599467e-02  4.610888141961429e+00 
 5.705536329916989e-06  8.515908376483004e-02  4.611570131095211e+00 
 5.706536329916989e-06  8.515545132178870e-02  4.612252122586015e+00 
 5.707536329916989e-06  8.515182046581478e-02  4.612934116433051e+00 
 5.708536329916988e-06  8.514819119594894e-02  4.613616112635626e+00 
 5.709536329916988e-06  8.514456351112949e-02  4.614298111192943e+00 
 5.710536329916987e-06  8.514093741034305e-02  4.614980112104255e+00 
 5.711536329916987e-06  8.513731289255971e-02  4.615662115368798e+00 
 5.712536329916987e-06  8.513368995674293e-02  4.616344120985797e+00 
 5.713536329916986e-06  8.513006860187561e-02  4.617026128954504e+00 
 5.714536329916986e-06  8.512644882696876e-02  4.617708139274188e+00 
 5.715536329916986e-06  8.512283063092763e-02  4.618390151944017e+00 
 5.716536329916985e-06  8.511921401283776e-02  4.619072166963348e+00 
 5.717536329916985e-06  8.511559897155026e-02  4.619754184331283e+00 
 5.718536329916985e-06  8.511198550617299e-02  4.620436204047192e+00 
 5.719536329916984e-06  8.510837361556720e-02  4.621118226110205e+00 
 5.720536329916984e-06  8.510476329883668e-02  4.621800250519680e+00 
 5.721536329916984e-06  8.510115455487766e-02  4.622482277274780e+00 
 5.722536329916983e-06  8.509754738271022e-02  4.623164306374782e+00 
 5.723536329916983e-06  8.509394178135771e-02  4.623846337818967e+00 
 5.724536329916983e-06  8.509033774966117e-02  4.624528371606439e+00 
 5.725536329916982e-06  8.508673528680323e-02  4.625210407736635e+00 
 5.726536329916982e-06  8.508313439164929e-02  4.625892446208686e+00 
 5.727536329916982e-06  8.507953506319452e-02  4.626574487021840e+00 
 5.728536329916981e-06  8.507593730046886e-02  4.627256530175384e+00 
 5.729536329916981e-06  8.507234110247126e-02  4.627938575668574e+00 
 5.730536329916980e-06  8.506874646816875e-02  4.628620623500635e+00 
 5.731536329916980e-06  8.506515339648640e-02  4.629302673670751e+00 
 5.732536329916980e-06  8.506156188655861e-02  4.629984726178311e+00 
 5.733536329916979e-06  8.505797193730122e-02  4.630666781022487e+00 
 5.734536329916979e-06  8.505438354766365e-02  4.631348838202477e+00 
 5.735536329916979e-06  8.505079671674584e-02  4.632030897717644e+00 
 5.736536329916978e-06  8.504721144346017e-02  4.632712959567145e+00 
 5.737536329916978e-06  8.504362772685210e-02  4.633395023750285e+00 
 5.738536329916978e-06  8.504004556594535e-02  4.634077090266342e+00 
 5.739536329916977e-06  8.503646495958420e-02  4.634759159114415e+00 
 5.740536329916977e-06  8.503288590702002e-02  4.635441230294003e+00 
 5.741536329916977e-06  8.502930840701525e-02  4.636123303804125e+00 
 5.742536329916976e-06  8.502573245872667e-02  4.636805379644185e+00 
 5.743536329916976e-06  8.502215806108931e-02  4.637487457813376e+00 
 5.744536329916976e-06  8.501858521311449e-02  4.638169538310953e+00 
 5.745536329916975e-06  8.501501391384796e-02  4.638851621136213e+00 
 5.746536329916975e-06  8.501144416222417e-02  4.639533706288349e+00 
 5.747536329916975e-06  8.500787595730165e-02  4.640215793766661e+00 
 5.748536329916974e-06  8.500430929807842e-02  4.640897883570400e+00 
 5.749536329916974e-06  8.500074418356338e-02  4.641579975698823e+00 
 5.750536329916974e-06  8.499718061273297e-02  4.642262070151155e+00 
 5.751536329916973e-06  8.499361858466273e-02  4.642944166926714e+00 
 5.752536329916973e-06  8.499005809829774e-02  4.643626266024705e+00 
 5.753536329916972e-06  8.498649915267940e-02  4.644308367444408e+00 
 5.754536329916972e-06  8.498294174682787e-02  4.644990471185090e+00 
 5.755536329916972e-06  8.497938587973887e-02  4.645672577245996e+00 
 5.756536329916971e-06  8.497583155039337e-02  4.646354685626353e+00 
 5.757536329916971e-06  8.497227875793756e-02  4.647036796325552e+00 
 5.758536329916971e-06  8.496872750122468e-02  4.647718909342689e+00 
 5.759536329916970e-06  8.496517777936358e-02  4.648401024677118e+00 
 5.760536329916970e-06  8.496162959132418e-02  4.649083142328059e+00 
 5.761536329916970e-06  8.495808293617667e-02  4.649765262294824e+00 
 5.762536329916969e-06  8.495453781291858e-02  4.650447384576653e+00 
 5.763536329916969e-06  8.495099422055302e-02  4.651129509172793e+00 
 5.764536329916969e-06  8.494745215810112e-02  4.651811636082505e+00 
 5.765536329916968e-06  8.494391162461692e-02  4.652493765305088e+00 
 5.766536329916968e-06  8.494037261912020e-02  4.653175896839803e+00 
 5.767536329916968e-06  8.493683514055983e-02  4.653858030685843e+00 
 5.768536329916967e-06  8.493329918804543e-02  4.654540166842554e+00 
 5.769536329916967e-06  8.492976476058663e-02  4.655222305309197e+00 
 5.770536329916967e-06  8.492623185713859e-02  4.655904446084956e+00 
 5.771536329916966e-06  8.492270047689505e-02  4.656586589169272e+00 
 5.772536329916966e-06  8.491917061863465e-02  4.657268734561161e+00 
 5.773536329916966e-06  8.491564228165051e-02  4.657950882260151e+00 
 5.774536329916965e-06  8.491211546474033e-02  4.658633032265286e+00 
 5.775536329916965e-06  8.490859016711350e-02  4.659315184576013e+00 
 5.776536329916964e-06  8.490506638767435e-02  4.659997339191468e+00 
 5.777536329916964e-06  8.490154412551820e-02  4.660679496110994e+00 
 5.778536329916964e-06  8.489802337968434e-02  4.661361655333859e+00 
 5.779536329916963e-06  8.489450414918372e-02  4.662043816859314e+00 
 5.780536329916963e-06  8.489098643303290e-02  4.662725980686610e+00 
 5.781536329916963e-06  8.488747023027655e-02  4.663408146815038e+00 
 5.782536329916962e-06  8.488395554001227e-02  4.664090315243918e+00 
 5.783536329916962e-06  8.488044236115881e-02  4.664772485972411e+00 
 5.784536329916962e-06  8.487693069287801e-02  4.665454658999911e+00 
 5.785536329916961e-06  8.487342053412146e-02  4.666136834325609e+00 
 5.786536329916961e-06  8.486991188395104e-02  4.666819011948795e+00 
 5.787536329916961e-06  8.486640474141237e-02  4.667501191868753e+00 
 5.788536329916960e-06  8.486289910554758e-02  4.668183374084756e+00 
 5.789536329916960e-06  8.485939497538475e-02  4.668865558596067e+00 
 5.790536329916960e-06  8.485589234999000e-02  4.669547745401988e+00 
 5.791536329916959e-06  8.485239122841455e-02  4.670229934501796e+00 
 5.792536329916959e-06  8.484889160962804e-02  4.670912125894696e+00 
 5.793536329916959e-06  8.484539349276658e-02  4.671594319580053e+00 
 5.794536329916958e-06  8.484189687680969e-02  4.672276515557082e+00 
 5.795536329916958e-06  8.483840176085847e-02  4.672958713825112e+00 
 5.796536329916957e-06  8.483490814390707e-02  4.673640914383370e+00 
 5.797536329916957e-06  8.483141602503851e-02  4.674323117231164e+00 
 5.798536329916957e-06  8.482792540327744e-02  4.675005322367754e+00 
 5.799536329916956e-06  8.482443627772124e-02  4.675687529792462e+00 
 5.800536329916956e-06  8.482094864735909e-02  4.676369739504509e+00 
 5.801536329916956e-06  8.481746251123261e-02  4.677051951503168e+00 
 5.802536329916955e-06  8.481397786849522e-02  4.677734165787816e+00 
 5.803536329916955e-06  8.481049471811283e-02  4.678416382357645e+00 
 5.804536329916955e-06  8.480701305914126e-02  4.679098601211943e+00 
 5.805536329916954e-06  8.480353289067677e-02  4.679780822350031e+00 
 5.806536329916954e-06  8.480005421170199e-02  4.680463045771121e+00 
 5.807536329916954e-06  8.479657702140204e-02  4.681145271474620e+00 
 5.808536329916953e-06  8.479310131867154e-02  4.681827499459650e+00 
 5.809536329916953e-06  8.478962710272810e-02  4.682509729725655e+00 
 5.810536329916953e-06  8.478615437246362e-02  4.683191962271751e+00 
 5.811536329916952e-06  8.478268312710854e-02  4.683874197097392e+00 
 5.812536329916952e-06  8.477921336556521e-02  4.684556434201709e+00 
 5.813536329916952e-06  8.477574508701770e-02  4.685238673584101e+00 
 5.814536329916951e-06  8.477227829045716e-02  4.685920915243795e+00 
 5.815536329916951e-06  8.476881297502857e-02  4.686603159180151e+00 
 5.816536329916951e-06  8.476534913962061e-02  4.687285405392288e+00 
 5.817536329916950e-06  8.476188678345470e-02  4.687967653879641e+00 
 5.818536329916950e-06  8.475842590558512e-02  4.688649904641489e+00 
