Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
241	2.195000e-10	1.500000e+00	7.194788e-02	2.806584e-01	
242	2.205000e-10	1.500000e+00	7.185843e-02	2.760381e-01	
243	2.215000e-10	1.500000e+00	7.176456e-02	2.724495e-01	
244	2.225000e-10	1.500000e+00	7.166625e-02	2.696842e-01	
245	2.235000e-10	1.500000e+00	7.156353e-02	2.675742e-01	
246	2.245000e-10	1.500000e+00	7.145639e-02	2.659831e-01	
247	2.255000e-10	1.500000e+00	7.134484e-02	2.648010e-01	
248	2.265000e-10	1.500000e+00	7.122890e-02	2.639389e-01	
249	2.275000e-10	1.500000e+00	7.110856e-02	2.633255e-01	
250	2.285000e-10	1.500000e+00	7.098383e-02	2.629031e-01	
251	2.295000e-10	1.500000e+00	7.085472e-02	2.626256e-01	
252	2.305000e-10	1.500000e+00	7.072125e-02	2.624557e-01	
253	2.315000e-10	1.500000e+00	7.058341e-02	2.623638e-01	
254	2.325000e-10	1.500000e+00	7.044121e-02	2.623262e-01	
255	2.335000e-10	1.500000e+00	7.029468e-02	2.623241e-01	
256	2.345000e-10	1.500000e+00	7.014380e-02	2.623423e-01	
257	2.355000e-10	1.500000e+00	6.998860e-02	2.623692e-01	
258	2.365000e-10	1.500000e+00	6.982908e-02	2.623952e-01	
259	2.375000e-10	1.500000e+00	6.966526e-02	2.624133e-01	
260	2.385000e-10	1.500000e+00	6.949713e-02	2.624175e-01	
261	2.395000e-10	1.500000e+00	6.932472e-02	2.624038e-01	
262	2.405000e-10	1.500000e+00	6.914804e-02	2.623686e-01	
263	2.415000e-10	1.500000e+00	6.896709e-02	2.623096e-01	
264	2.425000e-10	1.500000e+00	6.878188e-02	2.622248e-01	
265	2.435000e-10	1.500000e+00	6.859243e-02	2.621132e-01	
266	2.445000e-10	1.500000e+00	6.839875e-02	2.619736e-01	
267	2.455000e-10	1.500000e+00	6.820085e-02	2.618056e-01	
268	2.465000e-10	1.500000e+00	6.799875e-02	2.616089e-01	
269	2.475000e-10	1.500000e+00	6.779245e-02	2.613834e-01	
270	2.485000e-10	1.500000e+00	6.758197e-02	2.611290e-01	
271	2.495000e-10	1.500000e+00	6.736731e-02	2.608460e-01	
272	2.505000e-10	1.500000e+00	6.714851e-02	2.605346e-01	
273	2.515000e-10	1.500000e+00	6.692556e-02	2.601951e-01	
274	2.525000e-10	1.500000e+00	6.669848e-02	2.598278e-01	
275	2.535000e-10	1.500000e+00	6.646729e-02	2.594331e-01	
276	2.545000e-10	1.500000e+00	6.623200e-02	2.590114e-01	
277	2.555000e-10	1.500000e+00	6.599263e-02	2.585631e-01	
278	2.565000e-10	1.500000e+00	6.574918e-02	2.580886e-01	
279	2.575000e-10	1.500000e+00	6.550168e-02	2.575883e-01	
280	2.585000e-10	1.500000e+00	6.525013e-02	2.570625e-01	
281	2.595000e-10	1.500000e+00	6.499456e-02	2.565118e-01	
282	2.605000e-10	1.500000e+00	6.473499e-02	2.559364e-01	
283	2.615000e-10	1.500000e+00	6.447142e-02	2.553367e-01	
284	2.625000e-10	1.500000e+00	6.420387e-02	2.547130e-01	
285	2.635000e-10	1.500000e+00	6.393236e-02	2.540657e-01	
286	2.645000e-10	1.500000e+00	6.365691e-02	2.533951e-01	

Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
287	2.655000e-10	1.500000e+00	6.337753e-02	2.527016e-01	
288	2.665000e-10	1.500000e+00	6.309424e-02	2.519853e-01	
289	2.675000e-10	1.500000e+00	6.280706e-02	2.512466e-01	
290	2.685000e-10	1.500000e+00	6.251601e-02	2.504858e-01	
291	2.695000e-10	1.500000e+00	6.222110e-02	2.497032e-01	
292	2.705000e-10	1.500000e+00	6.192235e-02	2.488988e-01	
293	2.715000e-10	1.500000e+00	6.161978e-02	2.480732e-01	
294	2.725000e-10	1.500000e+00	6.131341e-02	2.472263e-01	
295	2.735000e-10	1.500000e+00	6.100326e-02	2.463585e-01	
296	2.745000e-10	1.500000e+00	6.068935e-02	2.454699e-01	
297	2.755000e-10	1.500000e+00	6.037169e-02	2.445609e-01	
298	2.765000e-10	1.500000e+00	6.005031e-02	2.436314e-01	
299	2.775000e-10	1.500000e+00	5.972523e-02	2.426818e-01	
300	2.785000e-10	1.500000e+00	5.939646e-02	2.417122e-01	
301	2.795000e-10	1.500000e+00	5.906402e-02	2.407228e-01	
302	2.805000e-10	1.500000e+00	5.872794e-02	2.397138e-01	
303	2.815000e-10	1.500000e+00	5.838824e-02	2.386853e-01	
304	2.825000e-10	1.500000e+00	5.804494e-02	2.376374e-01	
305	2.835000e-10	1.500000e+00	5.769806e-02	2.365703e-01	
306	2.845000e-10	1.500000e+00	5.734762e-02	2.354842e-01	
307	2.855000e-10	1.500000e+00	5.699364e-02	2.343792e-01	
308	2.865000e-10	1.500000e+00	5.663615e-02	2.332555e-01	
309	2.875000e-10	1.500000e+00	5.627516e-02	2.321131e-01	
310	2.885000e-10	1.500000e+00	5.591070e-02	2.309522e-01	
311	2.895000e-10	1.500000e+00	5.554279e-02	2.297729e-01	
312	2.905000e-10	1.500000e+00	5.517146e-02	2.285754e-01	
313	2.915000e-10	1.500000e+00	5.479672e-02	2.273598e-01	
314	2.925000e-10	1.500000e+00	5.441861e-02	2.261262e-01	
315	2.935000e-10	1.500000e+00	5.403713e-02	2.248747e-01	
316	2.945000e-10	1.500000e+00	5.365232e-02	2.236054e-01	
317	2.955000e-10	1.500000e+00	5.326421e-02	2.223185e-01	
318	2.965000e-10	1.500000e+00	5.287281e-02	2.210140e-01	
319	2.975000e-10	1.500000e+00	5.247814e-02	2.196922e-01	
320	2.985000e-10	1.500000e+00	5.208024e-02	2.183529e-01	
