 time                   v(vref)                v(isense)              v(gate)                v(vdd)                 v(vdda)                v(osc_clk)             v(cmp_clk)            
 6.559306734691870e-07  1.039303229388356e+00  9.984368295533013e-01  1.245796638848677e-10  1.199999996493324e+00  3.299482051616502e+00  6.808163024198253e-03  0.000000000000000e+00 
 6.559420204075610e-07  1.039303229388414e+00  9.984368295530184e-01  1.245796638848165e-10  1.199999996493345e+00  3.299482051616506e+00  2.042448907246770e-02  0.000000000000000e+00 
 6.559647142843091e-07  1.039303229388447e+00  9.984368295527680e-01  1.245796638843742e-10  1.199999996493384e+00  3.299482051616513e+00  4.765714116913365e-02  0.000000000000000e+00 
 6.560101020378053e-07  1.039303229388299e+00  9.984368295527228e-01  1.245796638850202e-10  1.199999996493460e+00  3.299482051616522e+00  1.021224453624656e-01  0.000000000000000e+00 
 6.561008775447975e-07  1.039303229388169e+00  9.984368295518294e-01  1.245796638843754e-10  1.199999996493615e+00  3.299482051616539e+00  2.110530537490023e-01  0.000000000000000e+00 
 6.562824285587820e-07  1.039303229388288e+00  9.984368295492544e-01  1.245796638839670e-10  1.199999996493925e+00  3.299482051616573e+00  4.289142705222029e-01  0.000000000000000e+00 
 6.566037142793910e-07  1.039303229387238e+00  9.984368295444001e-01  1.245796638832338e-10  1.199999996494473e+00  3.299482051616643e+00  8.144571352384322e-01  0.000000000000000e+00 
 6.569250000000000e-07  1.039303229385834e+00  9.984368295392381e-01  1.245796638825029e-10  1.199999996495022e+00  3.299482051616704e+00  1.199999999954661e+00  0.000000000000000e+00 
 6.569370000000000e-07  1.039303229385861e+00  9.984368295390224e-01  1.245796638825045e-10  1.199999996495043e+00  3.299482051616704e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.569610000000000e-07  1.039303229385857e+00  9.984368295385988e-01  1.245796638823073e-10  1.199999996495084e+00  3.299482051616704e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.570090000000001e-07  1.039303229385797e+00  9.984368295371320e-01  1.245796638822680e-10  1.199999996495167e+00  3.299482051616712e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.571050000000001e-07  1.039303229385491e+00  9.984368295343905e-01  1.245796638822977e-10  1.199999996495330e+00  3.299482051616737e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.572970000000002e-07  1.039303229384928e+00  9.984368295315001e-01  1.245796638814613e-10  1.199999996495660e+00  3.299482051616787e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.576810000000004e-07  1.039303229384887e+00  9.984368295297753e-01  1.245796638809650e-10  1.199999996496318e+00  3.299482051616885e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.584490000000007e-07  1.039303229383996e+00  9.984368295199860e-01  1.245796638788737e-10  1.199999996497626e+00  3.299482051617030e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.599850000000015e-07  1.039303229379974e+00  9.984368294940426e-01  1.245796638757387e-10  1.199999996500236e+00  3.299482051617276e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.630570000000030e-07  1.039303229374745e+00  9.984368294926813e-01  1.245796638685330e-10  1.199999996505417e+00  3.299482051617870e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.680570000000029e-07  1.039303229366217e+00  9.984368294637250e-01  1.245796638578130e-10  1.199999996513752e+00  3.299482051618805e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.730570000000029e-07  1.039303229356962e+00  9.984368294716871e-01  1.245796638466446e-10  1.199999996521936e+00  3.299482051619695e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.780570000000029e-07  1.039303229348759e+00  9.984368295301912e-01  1.245796638363013e-10  1.199999996529979e+00  3.299482051620530e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.830570000000028e-07  1.039303229341115e+00  9.984368295911882e-01  1.245796638255104e-10  1.199999996537900e+00  3.299482051621291e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.880570000000028e-07  1.039303229333884e+00  9.984368296783289e-01  1.245796638155311e-10  1.199999996545689e+00  3.299482051622041e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.930570000000027e-07  1.039303229326881e+00  9.984368297854718e-01  1.245796638051060e-10  1.199999996553360e+00  3.299482051622828e+00  1.199999999954698e+00  0.000000000000000e+00 
 6.980570000000027e-07  1.039303229319933e+00  9.984368299044017e-01  1.245796637954765e-10  1.199999996560909e+00  3.299482051623513e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.030570000000026e-07  1.039303229313289e+00  9.984368300304545e-01  1.245796637854045e-10  1.199999996568342e+00  3.299482051624105e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.072873000000014e-07  1.039303229308167e+00  9.984368301453889e-01  1.245796637775800e-10  1.199999996574532e+00  3.299482051624627e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.115176000000000e-07  1.039303229302183e+00  9.984368302539003e-01  1.245796637692683e-10  1.199999996580647e+00  3.299482051625084e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.116042060000000e-07  1.039303229301983e+00  9.984368302546822e-01  1.245796637692536e-10  1.199999996580770e+00  3.299482051625094e+00  1.096072799958614e+00  0.000000000000000e+00 
 7.117774179999999e-07  1.039303229301680e+00  9.984368302566812e-01  1.245796637689379e-10  1.199999996581015e+00  3.299482051625111e+00  8.882183999665418e-01  0.000000000000000e+00 
 7.121238419999998e-07  1.039303229301035e+00  9.984368302624596e-01  1.245796637682804e-10  1.199999996581508e+00  3.299482051625140e+00  4.725095999823964e-01  0.000000000000000e+00 
 7.125176000000000e-07  1.039303229300520e+00  9.984368302725499e-01  1.245796637675431e-10  1.199999996582070e+00  3.299482051625180e+00  5.284661597016242e-14  0.000000000000000e+00 
 7.125187138633582e-07  1.039303229300519e+00  9.984368302726029e-01  1.245796637670734e-10  1.199999996582072e+00  3.299482051625179e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.125209415900747e-07  1.039303229300522e+00  9.984368302727072e-01  1.245796637675362e-10  1.199999996582076e+00  3.299482051625175e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.125253970435077e-07  1.039303229300522e+00  9.984368302728573e-01  1.245796637680674e-10  1.199999996582083e+00  3.299482051625171e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.125343079503736e-07  1.039303229300533e+00  9.984368302731869e-01  1.245796637672629e-10  1.199999996582096e+00  3.299482051625175e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.125521297641054e-07  1.039303229300579e+00  9.984368302740790e-01  1.245796637672398e-10  1.199999996582121e+00  3.299482051625180e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.125877733915691e-07  1.039303229300589e+00  9.984368302758866e-01  1.245796637676253e-10  1.199999996582170e+00  3.299482051625187e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.126590606464965e-07  1.039303229300530e+00  9.984368302789414e-01  1.245796637677640e-10  1.199999996582271e+00  3.299482051625200e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.128016351563512e-07  1.039303229300586e+00  9.984368302841297e-01  1.245796637664292e-10  1.199999996582474e+00  3.299482051625226e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.130867841760608e-07  1.039303229301147e+00  9.984368302922545e-01  1.245796637670729e-10  1.199999996582883e+00  3.299482051625265e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.136570822154798e-07  1.039303229301076e+00  9.984368303095783e-01  1.245796637648256e-10  1.199999996583697e+00  3.299482051625322e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.147976782943178e-07  1.039303229299022e+00  9.984368303506441e-01  1.245796637638741e-10  1.199999996585324e+00  3.299482051625433e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.170788704519938e-07  1.039303229297754e+00  9.984368304197780e-01  1.245796637584870e-10  1.199999996588561e+00  3.299482051625640e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.216412547673459e-07  1.039303229293162e+00  9.984368305867882e-01  1.245796637513087e-10  1.199999996594974e+00  3.299482051626110e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.266412547673459e-07  1.039303229287421e+00  9.984368307681540e-01  1.245796637411566e-10  1.199999996601897e+00  3.299482051626527e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.316412547673458e-07  1.039303229281499e+00  9.984368309391615e-01  1.245796637334845e-10  1.199999996608705e+00  3.299482051626867e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.366412547673458e-07  1.039303229276960e+00  9.984368311242875e-01  1.245796637236452e-10  1.199999996615416e+00  3.299482051627273e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.416412547673457e-07  1.039303229273002e+00  9.984368313078500e-01  1.245796637162740e-10  1.199999996622027e+00  3.299482051627560e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.466412547673457e-07  1.039303229268437e+00  9.984368314972124e-01  1.245796637067376e-10  1.199999996628544e+00  3.299482051627825e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.516412547673456e-07  1.039303229264749e+00  9.984368316932439e-01  1.245796636996573e-10  1.199999996634964e+00  3.299482051628110e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.566412547673456e-07  1.039303229260469e+00  9.984368318817203e-01  1.245796636904127e-10  1.199999996641294e+00  3.299482051628300e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.616412547673455e-07  1.039303229256987e+00  9.984368320589552e-01  1.245796636836135e-10  1.199999996647533e+00  3.299482051628499e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.643756273836727e-07  1.039303229254876e+00  9.984368321566057e-01  1.245796636781745e-10  1.199999996650898e+00  3.299482051628568e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.671100000000000e-07  1.039303229252760e+00  9.984368322601261e-01  1.245796636750733e-10  1.199999996654241e+00  3.299482051628602e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.671156734691870e-07  1.039303229252815e+00  9.984368322603193e-01  1.245796636745163e-10  1.199999996654248e+00  3.299482051628604e+00  6.808163024198253e-03  0.000000000000000e+00 
 7.671270204075610e-07  1.039303229252896e+00  9.984368322607231e-01  1.245796636743254e-10  1.199999996654264e+00  3.299482051628607e+00  2.042448907246770e-02  0.000000000000000e+00 
 7.671497142843091e-07  1.039303229252910e+00  9.984368322616838e-01  1.245796636743812e-10  1.199999996654293e+00  3.299482051628606e+00  4.765714116913365e-02  0.000000000000000e+00 
 7.671951020378053e-07  1.039303229252825e+00  9.984368322640346e-01  1.245796636747223e-10  1.199999996654348e+00  3.299482051628602e+00  1.021224453624656e-01  0.000000000000000e+00 
 7.672858775447975e-07  1.039303229252738e+00  9.984368322680216e-01  1.245796636742319e-10  1.199999996654457e+00  3.299482051628602e+00  2.110530537490023e-01  0.000000000000000e+00 
 7.674674285587820e-07  1.039303229253019e+00  9.984368322749787e-01  1.245796636739484e-10  1.199999996654677e+00  3.299482051628608e+00  4.289142705222029e-01  0.000000000000000e+00 
 7.677887142793910e-07  1.039303229252785e+00  9.984368322884305e-01  1.245796636734517e-10  1.199999996655066e+00  3.299482051628621e+00  8.144571352384322e-01  0.000000000000000e+00 
 7.681100000000000e-07  1.039303229251922e+00  9.984368323005969e-01  1.245796636729583e-10  1.199999996655457e+00  3.299482051628636e+00  1.199999999954661e+00  0.000000000000000e+00 
 7.681220000000000e-07  1.039303229251888e+00  9.984368323009368e-01  1.245796636729665e-10  1.199999996655471e+00  3.299482051628635e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.681460000000000e-07  1.039303229251830e+00  9.984368323016495e-01  1.245796636728733e-10  1.199999996655500e+00  3.299482051628632e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.681940000000001e-07  1.039303229251784e+00  9.984368323025333e-01  1.245796636728394e-10  1.199999996655557e+00  3.299482051628630e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.682900000000001e-07  1.039303229251396e+00  9.984368323047460e-01  1.245796636726353e-10  1.199999996655675e+00  3.299482051628636e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.684820000000002e-07  1.039303229250798e+00  9.984368323120268e-01  1.245796636724095e-10  1.199999996655911e+00  3.299482051628643e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.688660000000004e-07  1.039303229251510e+00  9.984368323295043e-01  1.245796636717717e-10  1.199999996656377e+00  3.299482051628665e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.696340000000007e-07  1.039303229251713e+00  9.984368323573450e-01  1.245796636706327e-10  1.199999996657307e+00  3.299482051628691e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.711700000000015e-07  1.039303229249248e+00  9.984368324025384e-01  1.245796636682530e-10  1.199999996659164e+00  3.299482051628686e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.742420000000030e-07  1.039303229248498e+00  9.984368325268955e-01  1.245796636636227e-10  1.199999996662854e+00  3.299482051628735e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.792420000000029e-07  1.039303229247034e+00  9.984368326843477e-01  1.245796636561227e-10  1.199999996668803e+00  3.299482051628805e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.842420000000029e-07  1.039303229242000e+00  9.984368328481602e-01  1.245796636488024e-10  1.199999996674660e+00  3.299482051628771e+00  1.199999999954698e+00  0.000000000000000e+00 
 7.892420000000029e-07  1.039303229239290e+00  9.984368330387783e-01  1.245796636415621e-10  1.199999996680431e+00  3.299482051628784e+00  1.199999999954698e+00  0.000000000000000e+00 
