 time            v(vref)         v(isense)       v(gate)         v(vdd)          v(vdda)         v(osc_clk)      v(cmp_clk)     
 1.37538482e-07  1.03930313e+00  9.98810821e-01  1.24579667e-10  1.19999999e+00  3.29948199e+00  1.19999289e+00  0.00000000e+00 
 1.42538482e-07  1.03930315e+00  9.98797341e-01  1.24579667e-10  1.19999999e+00  3.29948200e+00  1.19999994e+00  0.00000000e+00 
 1.47538482e-07  1.03930316e+00  9.98780822e-01  1.24579667e-10  1.19999999e+00  3.29948201e+00  1.20000022e+00  0.00000000e+00 
 1.51565541e-07  1.03930316e+00  9.98765855e-01  1.24579667e-10  1.19999999e+00  3.29948201e+00  1.20000000e+00  0.00000000e+00 
 1.55592600e-07  1.03930317e+00  9.98749824e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  1.20000000e+00  0.00000000e+00 
 1.55675141e-07  1.03930317e+00  9.98749486e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  1.10095058e+00  0.00000000e+00 
 1.55840224e-07  1.03930317e+00  9.98748810e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  9.02851745e-01  0.00000000e+00 
 1.56170388e-07  1.03930317e+00  9.98747453e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  5.06654072e-01  0.00000000e+00 
 1.56592600e-07  1.03930317e+00  9.98745712e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56593832e-07  1.03930317e+00  9.98745707e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56596297e-07  1.03930317e+00  9.98745697e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56601226e-07  1.03930317e+00  9.98745676e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56611085e-07  1.03930317e+00  9.98745636e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56630802e-07  1.03930317e+00  9.98745554e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56670237e-07  1.03930317e+00  9.98745391e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56749105e-07  1.03930317e+00  9.98745065e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.56906843e-07  1.03930317e+00  9.98744411e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.57222319e-07  1.03930317e+00  9.98743102e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.57853269e-07  1.03930317e+00  9.98740472e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.59115171e-07  1.03930317e+00  9.98735174e-01  1.24579667e-10  1.19999999e+00  3.29948202e+00  0.00000000e+00  0.00000000e+00 
 1.61638975e-07  1.03930318e+00  9.98724458e-01  1.24579667e-10  1.19999999e+00  3.29948203e+00  0.00000000e+00  0.00000000e+00 
 1.66638975e-07  1.03930319e+00  9.98702977e-01  1.24579667e-10  1.19999999e+00  3.29948203e+00  0.00000000e+00  0.00000000e+00 
 1.71638975e-07  1.03930319e+00  9.98681478e-01  1.24579667e-10  1.19999999e+00  3.29948204e+00  0.00000000e+00  0.00000000e+00 
 1.76638975e-07  1.03930320e+00  9.98660314e-01  1.24579667e-10  1.19999999e+00  3.29948204e+00  0.00000000e+00  0.00000000e+00 
 1.81638975e-07  1.03930320e+00  9.98639763e-01  1.24579667e-10  1.19999999e+00  3.29948204e+00  0.00000000e+00  0.00000000e+00 
 1.86638975e-07  1.03930321e+00  9.98620043e-01  1.24579667e-10  1.19999999e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 1.91638975e-07  1.03930321e+00  9.98601313e-01  1.24579667e-10  1.19999999e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 1.96638975e-07  1.03930322e+00  9.98583686e-01  1.24579666e-10  1.19999999e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 2.01638975e-07  1.03930322e+00  9.98567233e-01  1.24579666e-10  1.19999999e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 2.06638975e-07  1.03930322e+00  9.98551990e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  0.00000000e+00  0.00000000e+00 
 2.11185000e-07  1.03930323e+00  9.98539189e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  0.00000000e+00  0.00000000e+00 
 2.11194300e-07  1.03930323e+00  9.98539164e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.11597526e-02  0.00000000e+00 
 2.11212899e-07  1.03930323e+00  9.98539114e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  3.34792579e-02  0.00000000e+00 
 2.11250099e-07  1.03930323e+00  9.98539013e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  7.81182685e-02  0.00000000e+00 
 2.11324497e-07  1.03930323e+00  9.98538812e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.67396290e-01  0.00000000e+00 
 2.11473294e-07  1.03930323e+00  9.98538411e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  3.45952332e-01  0.00000000e+00 
 2.11770887e-07  1.03930323e+00  9.98537613e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  7.03064417e-01  0.00000000e+00 
 2.12185000e-07  1.03930323e+00  9.98536509e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
 2.12200915e-07  1.03930323e+00  9.98536466e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
 2.12232746e-07  1.03930323e+00  9.98536382e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
 2.12296408e-07  1.03930323e+00  9.98536213e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
 2.12423731e-07  1.03930323e+00  9.98535876e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
 2.12678377e-07  1.03930323e+00  9.98535204e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
 2.13187670e-07  1.03930323e+00  9.98533869e-01  1.24579666e-10  1.19999999e+00  3.29948206e+00  1.20000000e+00  0.00000000e+00 
