device_instance	bound_name	extrema_value_V	extrema_time_ns	violating_sample_count	violation_interval_count	total_violation_duration_ps	longest_contiguous_violation_duration_ps	longest_violation_start_ns	longest_violation_end_ns	clk_p_at_extrema_V	clk_n_at_extrema_V	ic_at_extrema_A	vbe_at_extrema_V	vce_at_extrema_V
XQEF2_S	VCE_HIGH_1P60	1.52658592799345127e+00	3.8118056788e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	9.60941119937916465e-04	8.91442415436825342e-01	1.52658592799345127e+00
XQCLK_TRACK_M	VBE_LOW_0P65	-2.70558468839243116e-01	3.9098187121e+00	580	10	9.8826099858e+02	9.8826183330e+01	3.9005301317e+00	3.9993563150e+00	0.00000000000000000e+00	1.19999999999999996e+00	-4.20340474416613335e-06	-2.70558468839243116e-01	6.52976790694537401e-01
XQCLK_TRACK_M	VBE_HIGH_0P96	1.06442986661658545e+00	2.0000000000e+00	51	11	3.4984730058e+01	3.5043061389e+00	3.7998379794e+00	3.8033422855e+00	1.19999999999999996e+00	0.00000000000000000e+00	1.50164108044563362e-04	1.06442986661658545e+00	1.11338065329977765e+00
XQCLK_TRACK_M	VCE_LOW_0P40	3.45297464075719707e-01	3.8038056788e+00	20	10	3.3736979220e+01	3.3872878233e+00	3.8020799503e+00	3.8054672381e+00	1.19999999999999996e+00	0.00000000000000000e+00	2.16656825337251200e-03	9.51947354830388615e-01	3.45297464075719707e-01
XQCLK_TRACK_M	VCE_HIGH_1P60	1.11338065329977765e+00	2.0000000000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.50164108044563362e-04	1.06442986661658545e+00	1.11338065329977765e+00
XQCLK_LATCH_S	VBE_LOW_0P65	-2.70731976573268973e-01	3.9098187121e+00	580	10	9.8826045151e+02	9.8826128640e+01	3.9005301610e+00	3.9993562897e+00	0.00000000000000000e+00	1.19999999999999996e+00	-4.24681750951213606e-06	-2.70731976573268973e-01	6.54460915239340468e-01
XQCLK_LATCH_S	VBE_HIGH_0P96	1.06445911330791976e+00	2.0000000000e+00	51	11	3.4586144839e+01	3.4642527124e+00	3.7998379388e+00	3.8033021915e+00	1.19999999999999996e+00	0.00000000000000000e+00	1.50178124985713156e-04	1.06445911330791976e+00	1.11339438543083147e+00
XQCLK_LATCH_S	VCE_LOW_0P40	3.48977051317196307e-01	3.8038056788e+00	20	10	3.2960187356e+01	3.3102663732e+00	3.8020856379e+00	3.8053959042e+00	1.19999999999999996e+00	0.00000000000000000e+00	2.18671497285373179e-03	9.51043944874632619e-01	3.48977051317196307e-01
XQCLK_LATCH_S	VCE_HIGH_1P60	1.11339438543083147e+00	2.0000000000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.50178124985713156e-04	1.06445911330791976e+00	1.11339438543083147e+00
XQS_COMP_M	VBE_LOW_0P65	8.28293336102012168e-01	2.1029800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	2.16448465085480792e-03	8.28293336102012168e-01	1.62722326298406161e-01
XQS_COMP_M	VBE_HIGH_0P96	8.31570516570581564e-01	3.9013000000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	4.20000000000008811e-01	7.79999999999991145e-01	1.40864715104252057e-03	8.31570516570581564e-01	1.55148198256009701e-01
XQS_COMP_M	VCE_LOW_0P40	1.21066376067687193e-01	2.0000000000e+00	1141	1	2.0000000000e+03	2.0000000000e+03	2.0000000000e+00	4.0000000000e+00	1.19999999999999996e+00	0.00000000000000000e+00	1.47761296995262094e-03	8.30881662881947425e-01	1.21066376067687193e-01
XQS_COMP_M	VCE_HIGH_1P60	2.57762495522562307e-01	2.0078049970e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.92342179625483879e-03	8.29676117159408366e-01	2.57762495522562307e-01
XQS_COMP_S	VBE_LOW_0P65	8.28230438406054703e-01	2.0009800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	2.18283867910859432e-03	8.28230438406054703e-01	1.63439316448948824e-01
XQS_COMP_S	VBE_HIGH_0P96	8.31579411307769245e-01	3.9993000000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	7.80000000000153904e-01	4.19999999999846052e-01	1.40568426029188454e-03	8.31579411307769245e-01	1.52336904970736986e-01
XQS_COMP_S	VCE_LOW_0P40	1.21031672990218553e-01	2.0000000000e+00	1141	1	2.0000000000e+03	2.0000000000e+03	2.0000000000e+00	4.0000000000e+00	1.19999999999999996e+00	0.00000000000000000e+00	1.47805410871345915e-03	8.30901427362192635e-01	1.21031672990218553e-01
XQS_COMP_S	VCE_HIGH_1P60	2.57618965924483245e-01	2.0078049970e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.91845590965444433e-03	8.29634363436923650e-01	2.57618965924483245e-01
