seed	attempt_count	selected_attempt_id	point_status	reason_code	reconciliation_rule	deck_file	selected_log_file	selected_raw_file
2170	1	1	complete	none	single_attempt	tb_comp_mc_seed2170.cir	log_comp_mc_seed2170.log	raw_comp_mc_seed2170.txt
2171	1	1	complete	none	single_attempt	tb_comp_mc_seed2171.cir	log_comp_mc_seed2171.log	raw_comp_mc_seed2171.txt
2172	1	1	complete	none	single_attempt	tb_comp_mc_seed2172.cir	log_comp_mc_seed2172.log	raw_comp_mc_seed2172.txt
2173	1	1	complete	none	single_attempt	tb_comp_mc_seed2173.cir	log_comp_mc_seed2173.log	raw_comp_mc_seed2173.txt
2174	1	1	complete	none	single_attempt	tb_comp_mc_seed2174.cir	log_comp_mc_seed2174.log	raw_comp_mc_seed2174.txt
2175	1	1	complete	none	single_attempt	tb_comp_mc_seed2175.cir	log_comp_mc_seed2175.log	raw_comp_mc_seed2175.txt
2176	1	1	complete	none	single_attempt	tb_comp_mc_seed2176.cir	log_comp_mc_seed2176.log	raw_comp_mc_seed2176.txt
2177	1	1	complete	none	single_attempt	tb_comp_mc_seed2177.cir	log_comp_mc_seed2177.log	raw_comp_mc_seed2177.txt
2178	1	1	complete	none	single_attempt	tb_comp_mc_seed2178.cir	log_comp_mc_seed2178.log	raw_comp_mc_seed2178.txt
2179	1	1	complete	none	single_attempt	tb_comp_mc_seed2179.cir	log_comp_mc_seed2179.log	raw_comp_mc_seed2179.txt
2180	1	1	complete	none	single_attempt	tb_comp_mc_seed2180.cir	log_comp_mc_seed2180.log	raw_comp_mc_seed2180.txt
2181	1	1	complete	none	single_attempt	tb_comp_mc_seed2181.cir	log_comp_mc_seed2181.log	raw_comp_mc_seed2181.txt
2182	1	1	complete	none	single_attempt	tb_comp_mc_seed2182.cir	log_comp_mc_seed2182.log	raw_comp_mc_seed2182.txt
2183	1	1	complete	none	single_attempt	tb_comp_mc_seed2183.cir	log_comp_mc_seed2183.log	raw_comp_mc_seed2183.txt
2184	1	1	complete	none	single_attempt	tb_comp_mc_seed2184.cir	log_comp_mc_seed2184.log	raw_comp_mc_seed2184.txt
2185	1	1	complete	none	single_attempt	tb_comp_mc_seed2185.cir	log_comp_mc_seed2185.log	raw_comp_mc_seed2185.txt
2186	1	1	complete	none	single_attempt	tb_comp_mc_seed2186.cir	log_comp_mc_seed2186.log	raw_comp_mc_seed2186.txt
2187	1	1	complete	none	single_attempt	tb_comp_mc_seed2187.cir	log_comp_mc_seed2187.log	raw_comp_mc_seed2187.txt
2188	1	1	complete	none	single_attempt	tb_comp_mc_seed2188.cir	log_comp_mc_seed2188.log	raw_comp_mc_seed2188.txt
2189	1	1	complete	none	single_attempt	tb_comp_mc_seed2189.cir	log_comp_mc_seed2189.log	raw_comp_mc_seed2189.txt
2190	1	1	complete	none	single_attempt	tb_comp_mc_seed2190.cir	log_comp_mc_seed2190.log	raw_comp_mc_seed2190.txt
2191	1	1	complete	none	single_attempt	tb_comp_mc_seed2191.cir	log_comp_mc_seed2191.log	raw_comp_mc_seed2191.txt
2192	1	1	complete	none	single_attempt	tb_comp_mc_seed2192.cir	log_comp_mc_seed2192.log	raw_comp_mc_seed2192.txt
2193	1	1	complete	none	single_attempt	tb_comp_mc_seed2193.cir	log_comp_mc_seed2193.log	raw_comp_mc_seed2193.txt
2194	1	1	complete	none	single_attempt	tb_comp_mc_seed2194.cir	log_comp_mc_seed2194.log	raw_comp_mc_seed2194.txt
2195	1	1	complete	none	single_attempt	tb_comp_mc_seed2195.cir	log_comp_mc_seed2195.log	raw_comp_mc_seed2195.txt
2196	1	1	complete	none	single_attempt	tb_comp_mc_seed2196.cir	log_comp_mc_seed2196.log	raw_comp_mc_seed2196.txt
2197	1	1	complete	none	single_attempt	tb_comp_mc_seed2197.cir	log_comp_mc_seed2197.log	raw_comp_mc_seed2197.txt
2198	1	1	complete	none	single_attempt	tb_comp_mc_seed2198.cir	log_comp_mc_seed2198.log	raw_comp_mc_seed2198.txt
2199	1	1	complete	none	single_attempt	tb_comp_mc_seed2199.cir	log_comp_mc_seed2199.log	raw_comp_mc_seed2199.txt
2200	1	1	complete	none	single_attempt	tb_comp_mc_seed2200.cir	log_comp_mc_seed2200.log	raw_comp_mc_seed2200.txt
