 frequency              rejection             
 3.311311214825989e+05  2.536257640487486e+01 
 3.467368504525398e+05  2.500061035492885e+01 
 3.630780547701099e+05  2.464210634925411e+01 
 3.801893963205702e+05  2.428735920633693e+01 
 3.981071705535067e+05  2.393668507299292e+01 
 4.168693834703453e+05  2.359042227357621e+01 
 4.365158322401764e+05  2.324893206119121e+01 
 4.570881896148860e+05  2.291259923943625e+01 
 4.786300923226498e+05  2.258183261880620e+01 
 5.011872336272844e+05  2.225706527689026e+01 
 5.248074602497852e+05  2.193875457476278e+01 
 5.495408738576378e+05  2.162738189401307e+01 
 5.754399373371708e+05  2.132345204625054e+01 
 6.025595860743723e+05  2.102749231528777e+01 
 6.309573444802085e+05  2.074005108575843e+01 
 6.606934480076120e+05  2.046169602247969e+01 
 6.918309709189533e+05  2.019301176456652e+01 
 7.244359600750078e+05  1.993459710532398e+01 
 7.585775750292024e+05  1.968706164650318e+01 
 7.943282347243010e+05  1.945102191546254e+01 
 8.317637711026915e+05  1.922709696031946e+01 
 8.709635899561022e+05  1.901590344509910e+01 
 9.120108393559324e+05  1.881805029376968e+01 
 9.549925860214598e+05  1.863413294353274e+01 
 1.000000000000025e+06  1.846472729229607e+01 
 1.047128548050926e+06  1.831038344154440e+01 
 1.096478196143213e+06  1.817161935224599e+01 
 1.148153621496912e+06  1.804891454814951e+01 
 1.202264434617443e+06  1.794270400558851e+01 
 1.258925411794199e+06  1.785337237747592e+01 
 1.318256738556441e+06  1.778124869948022e+01 
 1.380384264602920e+06  1.772660171569934e+01 
 1.445439770745965e+06  1.768963595380762e+01 
 1.513561248436247e+06  1.767048866071148e+01 
 1.584893192461154e+06  1.766922768346849e+01 
 1.659586907437604e+06  1.768585036006538e+01 
 1.737800828749421e+06  1.772028344994908e+01 
 1.819700858610031e+06  1.777238410607554e+01 
 1.905460717963297e+06  1.784194185864827e+01 
 1.995262314968932e+06  1.792868155058610e+01 
 2.089296130854094e+06  1.803226713938462e+01 
 2.187761623949610e+06  1.815230625525550e+01 
 2.290867652767833e+06  1.828835539037036e+01 
 2.398832919019554e+06  1.843992557733830e+01 
 2.511886431509647e+06  1.860648841316593e+01 
 2.630267991895452e+06  1.878748228050177e+01 
 2.754228703338240e+06  1.898231862508966e+01 
 2.884031503126683e+06  1.919038815560806e+01 
 3.019951720402097e+06  1.941106684976765e+01 
 3.162277660168464e+06  1.964372166202959e+01 
 3.311311214826000e+06  1.988771585179972e+01 
 3.467368504525410e+06  2.014241386895268e+01 
 3.630780547701112e+06  2.040718575327341e+01 
 3.801893963205715e+06  2.068141102566482e+01 
 3.981071705535081e+06  2.096448206607802e+01 
 4.168693834703468e+06  2.125580699134350e+01 
 4.365158322401779e+06  2.155481206199795e+01 
 4.570881896148875e+06  2.186094366122277e+01 
 4.786300923226515e+06  2.217366990312197e+01 
 5.011872336272861e+06  2.249248194261808e+01 
 5.248074602497871e+06  2.281689507035825e+01 
 5.495408738576398e+06  2.314644969514861e+01 
 5.754399373371730e+06  2.348071233224099e+01 
 6.025595860743746e+06  2.381927673819019e+01 
 6.309573444802109e+06  2.416176536116308e+01 
 6.606934480076145e+06  2.450783130600475e+01 
 6.918309709189559e+06  2.485716105533270e+01 
 7.244359600750105e+06  2.520947823444693e+01 
 7.585775750292052e+06  2.556454876278082e+01 
 7.943282347243040e+06  2.592218779442307e+01 
 8.317637711026946e+06  2.628226891358942e+01 
 8.709635899561055e+06  2.664473610313104e+01 
 9.120108393559359e+06  2.700961904021108e+01 
 9.549925860214634e+06  2.737705226047861e+01 
 1.000000000000029e+07  2.774729864239799e+01 
 1.047128548050930e+07  2.812077744160136e+01 
 1.096478196143217e+07  2.849809668337570e+01 
 1.148153621496916e+07  2.888008901971817e+01 
 1.202264434617448e+07  2.926784908578015e+01 
 1.258925411794204e+07  2.966276889327462e+01 
 1.318256738556446e+07  3.006656589410643e+01 
 1.380384264602925e+07  3.048129621680760e+01 
 1.445439770745970e+07  3.090934366662858e+01 
 1.513561248436253e+07  3.135337416440438e+01 
 1.584893192461161e+07  3.181624647885752e+01 
 1.659586907437610e+07  3.230087453296717e+01 
 1.737800828749427e+07  3.281004490004783e+01 
 1.819700858610038e+07  3.334620472920165e+01 
 1.905460717963304e+07  3.391124771148608e+01 
 1.995262314968939e+07  3.450633450837337e+01 
 2.089296130854102e+07  3.513178466313324e+01 
 2.187761623949618e+07  3.578706685238948e+01 
 2.290867652767842e+07  3.647089504649215e+01 
 2.398832919019562e+07  3.718141563076074e+01 
 2.511886431509656e+07  3.791645244563098e+01 
 2.630267991895461e+07  3.867376873484528e+01 
 2.754228703338250e+07  3.945130839487679e+01 
 2.884031503126694e+07  4.024739061584705e+01 
 3.019951720402108e+07  4.106084681585433e+01 
 3.162277660168476e+07  4.189110202580264e+01 
 3.311311214826012e+07  4.273821194601845e+01 
 3.467368504525422e+07  4.360287132541867e+01 
 3.630780547701125e+07  4.448641011633893e+01 
 3.801893963205729e+07  4.539079259272866e+01 
 3.981071705535095e+07  4.631863278282468e+01 
 4.168693834703483e+07  4.727323830568665e+01 
 4.365158322401795e+07  4.825869484709307e+01 
 4.570881896148892e+07  4.928000577850098e+01 
 4.786300923226532e+07  5.034330666846695e+01 
 5.011872336272878e+07  5.145618405839079e+01 
 5.248074602497889e+07  5.262814436513656e+01 
 5.495408738576417e+07  5.387130665207411e+01 
 5.754399373371749e+07  5.520144039751731e+01 
 6.025595860743766e+07  5.663955022229936e+01 
 6.309573444802130e+07  5.821434428489324e+01 
 6.606934480076168e+07  5.996612087444055e+01 
 6.918309709189583e+07  6.195272550891318e+01 
 7.244359600750130e+07  6.425704507259260e+01 
 7.585775750292079e+07  6.698445265219301e+01 
 7.943282347243069e+07  7.015869795874534e+01 
 8.317637711026977e+07  7.301334987925347e+01 
 8.709635899561086e+07  7.305906313305239e+01 
 9.120108393559392e+07  7.068793257009864e+01 
 9.549925860214669e+07  6.824284372272240e+01 
 1.000000000000032e+08  6.625996181851410e+01 
