 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)              v(xt.icmp_h)          
 3.572748262200687e-07  1.200000000000000e+00  9.850764842233771e-01  7.959525306817625e-01  1.000260329766167e+00  1.200000442516721e+00  1.200331605854571e+00  1.990099051801787e+00  1.004932440634434e+00 
 3.582748262200688e-07  1.200000000000000e+00  9.854207152508518e-01  7.961147713133840e-01  1.000133542598615e+00  1.199996048765228e+00  1.199672375015987e+00  1.990096566588713e+00  1.004582696408264e+00 
 3.592748262200688e-07  1.200000000000000e+00  9.857509076358719e-01  7.962673191644554e-01  1.000017403595435e+00  1.200000563889490e+00  1.200322647673093e+00  1.990093702966220e+00  1.004244695518746e+00 
 3.602748262200688e-07  1.200000000000000e+00  9.860717728248587e-01  7.964168323206442e-01  9.999118386424183e-01  1.199996072613902e+00  1.199681231456763e+00  1.990090564087762e+00  1.003919257312756e+00 
 3.612748262200688e-07  1.200000000000000e+00  9.863794366474411e-01  7.965574374275403e-01  9.998151032580230e-01  1.200000677340977e+00  1.200313906661594e+00  1.990087244669825e+00  1.003604769476507e+00 
 3.622748262200689e-07  1.200000000000000e+00  9.866784984251433e-01  7.966956022191118e-01  9.997271212038655e-01  1.199996091386953e+00  1.199689872340562e+00  1.990083826999081e+00  1.003301935844227e+00 
 3.632748262200689e-07  1.200000000000000e+00  9.869651479510012e-01  7.968255209707852e-01  9.996464464748362e-01  1.200000783782033e+00  1.200305378568618e+00  1.990080378787968e+00  1.003009296070011e+00 
 3.642748262200689e-07  1.200000000000000e+00  9.872438749690601e-01  7.969534888380776e-01  9.995730340550180e-01  1.199996105845615e+00  1.199698301924004e+00  1.990076952491875e+00  1.002727493926505e+00 
 3.652748262200689e-07  1.200000000000000e+00  9.875109321839507e-01  7.970737767358949e-01  9.995056542187493e-01  1.200000883976138e+00  1.200297059202443e+00  1.990073585940111e+00  1.002455164706366e+00 
 3.662748262200689e-07  1.200000000000000e+00  9.877707021043571e-01  7.971925215011083e-01  9.994443182575925e-01  1.199996116623624e+00  1.199706524402675e+00  1.990070303957231e+00  1.002192937221788e+00 
 3.672748262200690e-07  1.200000000000000e+00  9.880194991117898e-01  7.973040764662064e-01  9.993879437877801e-01  1.200000978568377e+00  1.200288944430260e+00  1.990067120523328e+00  1.001939495708146e+00 
 3.682748262200690e-07  1.200000000000000e+00  9.882616009548131e-01  7.974144315201793e-01  9.993366188339521e-01  1.199996124252513e+00  1.199714543911339e+00  1.990064041345372e+00  1.001695490665972e+00 
 3.692748262200690e-07  1.200000000000000e+00  9.884933825825312e-01  7.975180258552256e-01  9.992893523802140e-01  1.200001068107691e+00  1.200281030175525e+00  1.990061066275237e+00  1.001459617083854e+00 
 3.702000000000001e-07  1.199999999999960e+00  9.887024777897948e-01  7.976132569202585e-01  9.992494323309817e-01  1.199996125881245e+00  1.199722676809392e+00  1.990058403498612e+00  1.001249306629150e+00 
 3.702200000000001e-07  1.079999999999824e+00  9.884818042175519e-01  7.974055876732531e-01  9.992443166884286e-01  1.199975480583889e+00  1.199958328288049e+00  1.990058346796967e+00  1.001240518659441e+00 
 3.702600000000001e-07  8.399999999998699e-01  9.882247837439114e-01  7.971559037449684e-01  9.992367050344033e-01  1.200009804401807e+00  1.200029877574635e+00  1.990058232861760e+00  1.001225660245235e+00 
 3.703300000000001e-07  4.200000000000289e-01  9.927131258986114e-01  8.012998636146539e-01  9.993041727673926e-01  1.200172803867659e+00  1.199976320536886e+00  1.990058038043126e+00  1.001279885846807e+00 
 3.704000000000001e-07  0.000000000000000e+00  1.011719707499726e+00  8.192147497282044e-01  9.996706128147526e-01  1.193627725127933e+00  1.200022004070407e+00  1.990057977162057e+00  1.001631587737465e+00 
 3.704089881557305e-07  0.000000000000000e+00  1.015304485362494e+00  8.220273154202524e-01  9.997438341458666e-01  1.196752247424708e+00  1.200005910374882e+00  1.990057995994042e+00  1.001702873115623e+00 
 3.704269644671914e-07  0.000000000000000e+00  1.021451099474236e+00  8.265596605282342e-01  9.998743841077685e-01  1.202445241134428e+00  1.199994922646918e+00  1.990058059135620e+00  1.001829801923002e+00 
 3.704544256253348e-07  0.000000000000000e+00  1.027257048809838e+00  8.308171771537451e-01  9.998716194711804e-01  1.200627134643892e+00  1.199999832470762e+00  1.990058292714406e+00  1.001823487993901e+00 
 3.704848692409599e-07  0.000000000000000e+00  1.030202046171138e+00  8.329298260134843e-01  9.991811224015537e-01  1.200007605737701e+00  1.199996315170091e+00  1.990058864176995e+00  1.001134176395762e+00 
 3.705221399288183e-07  0.000000000000000e+00  1.031392267953035e+00  8.336307213644804e-01  9.965002723654337e-01  1.200349740459890e+00  1.199999659835205e+00  1.990060303219548e+00  9.984436434385676e-01 
 3.705656862246195e-07  0.000000000000000e+00  1.031746724617495e+00  8.337198390201519e-01  9.889209748955464e-01  1.199673707458766e+00  1.199986811675526e+00  1.990063543222500e+00  9.908837680172837e-01 
 3.706108572593199e-07  0.000000000000000e+00  1.031850221703267e+00  8.336794540667641e-01  9.768275563868518e-01  1.200336511461462e+00  1.199857333235168e+00  1.990069288239619e+00  9.787896989012513e-01 
 3.706555739206093e-07  0.000000000000000e+00  1.031857397327062e+00  8.335931476494598e-01  9.635516407102146e-01  1.199677229404195e+00  1.199770775120773e+00  1.990077786276437e+00  9.655598604854635e-01 
 3.707128298678983e-07  0.000000000000000e+00  1.031812428440801e+00  8.334541789278225e-01  9.565007275927870e-01  1.200305600917954e+00  1.200409139719711e+00  1.990092719824099e+00  9.584825110302585e-01 
 3.707683945579687e-07  0.000000000000000e+00  1.031740225166529e+00  8.332999087360556e-01  9.563168146455894e-01  1.199714364767736e+00  1.200645272599454e+00  1.990110758011881e+00  9.584019139996439e-01 
 3.708409106826581e-07  0.000000000000000e+00  1.031632028780785e+00  8.330871041252658e-01  9.567831227111443e-01  1.200268517629024e+00  1.201214276260197e+00  1.990136970613619e+00  9.589143909068043e-01 
 3.709233181204702e-07  0.000000000000000e+00  1.031501261746238e+00  8.328346844565429e-01  9.564283581815212e-01  1.199746015553989e+00  1.200987862678882e+00  1.990166436551899e+00  9.580476414856995e-01 
 3.710095251577128e-07  0.000000000000000e+00  1.031365140520285e+00  8.325674013645519e-01  9.566389206225183e-01  1.200239346830867e+00  1.200045192132298e+00  1.990192965351196e+00  9.581774895524579e-01 
 3.711314088401899e-07  0.000000000000000e+00  1.031177315869161e+00  8.321870484813280e-01  9.572878568166864e-01  1.199770185632406e+00  1.200002314672581e+00  1.990219217311409e+00  9.586135889015998e-01 
 3.712437022880743e-07  0.000000000000000e+00  1.031011811953596e+00  8.318396407348105e-01  9.575930296424292e-01  1.200218815827134e+00  1.199910722197968e+00  1.990231598701640e+00  9.586983292010876e-01 
 3.714682891838430e-07  0.000000000000000e+00  1.030698548899714e+00  8.311565826654290e-01  9.585922890291584e-01  1.199785990111115e+00  1.200113377591991e+00  1.990231602001794e+00  9.592666359012999e-01 
 3.718803207162560e-07  0.000000000000000e+00  1.030168558438003e+00  8.299603095608408e-01  9.599809797849082e-01  1.200210796035181e+00  1.199870642684265e+00  1.990191777228652e+00  9.597584547219398e-01 
 3.725714959319290e-07  0.000000000000000e+00  1.029339695240543e+00  8.281152407716343e-01  9.624495125756178e-01  1.199790467751247e+00  1.200130526320471e+00  1.990117191457476e+00  9.608127636709990e-01 
 3.735714959319290e-07  0.000000000000000e+00  1.028183177576667e+00  8.257624033735065e-01  9.654097331106019e-01  1.200207982016873e+00  1.199861812683022e+00  1.990063547925420e+00  9.618618289222807e-01 
 3.745714959319290e-07  0.000000000000000e+00  1.027048718071675e+00  8.237170486087040e-01  9.683122655476684e-01  1.199792758757160e+00  1.200136977665843e+00  1.990048263057852e+00  9.631457244522967e-01 
 3.755714959319290e-07  0.000000000000000e+00  1.025941376753475e+00  8.219227209110803e-01  9.707487452387732e-01  1.200205697752375e+00  1.199856342533508e+00  1.990041822666893e+00  9.641043480425577e-01 
 3.765714959319291e-07  0.000000000000000e+00  1.024865492282302e+00  8.203370362336619e-01  9.732182256846407e-01  1.199795035216400e+00  1.200141963396522e+00  1.990038781922364e+00  9.653086925984898e-01 
 3.775714959319291e-07  0.000000000000000e+00  1.023822951011315e+00  8.189312024800305e-01  9.752884474777274e-01  1.200203428214681e+00  1.199852226861847e+00  1.990038009100849e+00  9.661946952639635e-01 
 3.785714959319291e-07  0.000000000000000e+00  1.022813724679132e+00  8.176794920391472e-01  9.774239467581098e-01  1.199797296789100e+00  1.200145651443396e+00  1.990038349156002e+00  9.673245518642757e-01 
 3.795714959319291e-07  0.000000000000000e+00  1.021837939629321e+00  8.165635942552063e-01  9.791894357499662e-01  1.200201173731204e+00  1.199849306712918e+00  1.990038861778913e+00  9.681434017454652e-01 
