attempted_temperatures,calibration_status,cold_residual_C,completed_temperatures,failed_temperatures,fingerprints_status,frequency25_Hz,hbt_vce_max_V,hot_residual_C,image_id,maximum_abs_residual_C,not_completed_temperatures,run_id,seed,slope_Hz_C
4,passed,-0.24778160246644632,4,0,passed,1459126.448353991,1.0665335225814863,-0.07021312260256707,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.24778160246644632,0,t2f_mc100_20260921_01_s51025,51025,4955.443226448708
4,passed,-1.1762006693856364,4,0,passed,1533709.10484493,1.0820383939279699,-0.39677289175561725,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.1762006693856364,0,t2f_mc100_20260921_01_s51026,51026,5006.969002362692
4,passed,-0.7785048110387152,4,0,passed,1505560.127648915,1.0686723985110165,-0.29596125731352174,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.7785048110387152,0,t2f_mc100_20260921_01_s51027,51027,5077.48897556896
4,passed,-1.266312313497778,4,0,passed,1538951.783390228,1.0800800476014802,-0.3650130584730533,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.266312313497778,0,t2f_mc100_20260921_01_s51028,51028,5014.597781760627
4,passed,0.4965034419957419,4,0,passed,1398316.479395675,1.04921053676736,0.11807008380438333,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.4965034419957419,0,t2f_mc100_20260921_01_s51029,51029,4844.334045565746
4,failed,-2.266962052548436,4,0,passed,1668890.289134199,1.1225241056821997,-0.6818273095500018,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,2.266962052548436,0,t2f_mc100_20260921_01_s51030,51030,5166.431186032426
4,passed,-1.316937202352122,4,0,passed,1519695.057989663,1.0758785481238313,-0.38256279540648563,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.316937202352122,0,t2f_mc100_20260921_01_s51031,51031,4955.774596017267
4,passed,-0.08478912367934299,4,0,passed,1440314.103699735,1.0527831950601274,-0.07311775508938467,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.08478912367934299,0,t2f_mc100_20260921_01_s51032,51032,4858.607424879468
4,passed,-0.720401027345261,4,0,passed,1457559.820760224,1.0646834460177044,-0.23772386299839354,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.720401027345261,0,t2f_mc100_20260921_01_s51033,51033,4861.442627000625
4,passed,-0.24671299300645444,4,0,passed,1448541.513343829,1.0510887767395958,-0.09471877743663981,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.24671299300645444,0,t2f_mc100_20260921_01_s51034,51034,4845.319912020961
4,passed,-0.9069380365783388,4,0,passed,1523458.547978327,1.079422823395656,-0.2468636550325698,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.9069380365783388,0,t2f_mc100_20260921_01_s51035,51035,5025.600574254775
4,passed,-0.9229300832583363,4,0,passed,1517880.249873447,1.065025155776684,-0.32715189359572605,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.9229300832583363,0,t2f_mc100_20260921_01_s51036,51036,4932.183437600294
4,failed,-2.4659693504327294,4,0,passed,1663678.111558976,1.1085248650723654,-0.6711139161750594,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,2.4659693504327294,0,t2f_mc100_20260921_01_s51037,51037,5098.168870219216
4,passed,-1.4148898987667167,4,0,passed,1592787.698024574,1.0977210037497316,-0.4363000732464002,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.4148898987667167,0,t2f_mc100_20260921_01_s51038,51038,5120.802676046465
4,passed,-0.8252570779207105,4,0,passed,1501013.981851428,1.0768366301560548,-0.23006989500409247,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.8252570779207105,0,t2f_mc100_20260921_01_s51039,51039,5022.271644079946
4,passed,-0.6873770034453486,4,0,passed,1475536.299806843,1.0656801371922744,-0.24517246716057173,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.6873770034453486,0,t2f_mc100_20260921_01_s51040,51040,4937.289684911171
4,passed,-0.6978137526285337,4,0,passed,1451349.056160496,1.0567826920329377,-0.24096496115480193,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.6978137526285337,0,t2f_mc100_20260921_01_s51041,51041,4891.530498383905
4,passed,-1.27911983297372,4,0,passed,1523019.43934418,1.0842541414877784,-0.3601136121887407,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.27911983297372,0,t2f_mc100_20260921_01_s51042,51042,4999.171155847438
4,passed,-1.9289522630839713,4,0,passed,1605431.173660493,1.1012044008768718,-0.547733940304056,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.9289522630839713,0,t2f_mc100_20260921_01_s51043,51043,5058.715940286961
4,passed,-0.7471671032915026,4,0,passed,1468213.858195317,1.0615650640558958,-0.25024496288916964,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.7471671032915026,0,t2f_mc100_20260921_01_s51044,51044,4852.1837663086935
4,passed,-0.29952577590401575,4,0,passed,1449401.134627443,1.06822662719193,-0.12895576902698735,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.29952577590401575,0,t2f_mc100_20260921_01_s51045,51045,4934.404963683172
4,passed,-1.0576137877478828,4,0,passed,1532982.159057821,1.0847802519956562,-0.3104275779116392,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.0576137877478828,0,t2f_mc100_20260921_01_s51046,51046,5006.674739919627
