 time            v(vref)         iptat           v(pbias)        v(vdd)         
 2.13805764e-02  3.98849051e-01 -3.33633483e-06  1.37891163e-01  6.41417291e-01 
 2.14805764e-02  4.00309193e-01 -3.31000370e-06  1.38858457e-01  6.44417291e-01 
 2.15805764e-02  4.01778437e-01 -3.28378688e-06  1.39821322e-01  6.47417291e-01 
 2.16805764e-02  4.03248619e-01 -3.25758517e-06  1.40788933e-01  6.50417291e-01 
 2.17805764e-02  4.04727587e-01 -3.23148404e-06  1.41752917e-01  6.53417291e-01 
 2.18805764e-02  4.06207917e-01 -3.20539382e-06  1.42721680e-01  6.56417291e-01 
 2.19805764e-02  4.07696751e-01 -3.17939132e-06  1.43687575e-01  6.59417291e-01 
 2.20805764e-02  4.09187323e-01 -3.15339537e-06  1.44658315e-01  6.62417291e-01 
 2.21805764e-02  4.10686149e-01 -3.12747504e-06  1.45626905e-01  6.65417291e-01 
 2.22805764e-02  4.12187047e-01 -3.10155679e-06  1.46600436e-01  6.68417291e-01 
 2.23805764e-02  4.13695970e-01 -3.07570277e-06  1.47572500e-01  6.71417291e-01 
 2.24805764e-02  4.15207259e-01 -3.04984624e-06  1.48549627e-01  6.74417291e-01 
 2.25805764e-02  4.16726362e-01 -3.02404320e-06  1.49525937e-01  6.77417291e-01 
 2.26805764e-02  4.18248088e-01 -2.99823297e-06  1.50507455e-01  6.80417291e-01 
 2.27805764e-02  4.19777428e-01 -2.97246606e-06  1.51488777e-01  6.83417291e-01 
 2.28805764e-02  4.21309611e-01 -2.94668727e-06  1.52475468e-01  6.86417291e-01 
 2.29805764e-02  4.22849218e-01 -2.92094215e-06  1.53462558e-01  6.89417291e-01 
 2.30805764e-02  4.24391854e-01 -2.89518043e-06  1.54455196e-01  6.92417291e-01 
 2.31805764e-02  4.25941728e-01 -2.86944324e-06  1.55448801e-01  6.95417291e-01 
