bit_index,time_ps,v_amp_diff_mV,bit_decision
607,121580.0,59.0517,1
608,121780.0,-15.3816,0
609,121980.0,24.4031,1
610,122180.0,-115.0372,0
611,122380.0,4.5852,1
612,122580.0,-28.1177,0
613,122780.0,20.9936,1
614,122980.0,54.6412,1
615,123180.0,-107.1364,0
616,123380.0,90.8521,1
617,123580.0,-102.5997,0
618,123780.0,-0.0099,0
619,123980.0,-71.1302,0
620,124180.0,-43.8201,0
621,124380.0,-24.6483,0
622,124580.0,-29.6763,0
623,124780.0,58.3918,1
624,124980.0,-30.5558,0
625,125180.0,-36.8211,0
626,125380.0,-5.5375,0
627,125580.0,-25.1601,0
628,125780.0,126.3012,1
629,125980.0,139.6123,1
630,126180.0,34.9978,1
631,126380.0,30.7955,1
632,126580.0,-18.6055,0
633,126780.0,-29.4094,0
634,126980.0,57.9411,1
635,127180.0,77.9700,1
636,127380.0,-53.8984,0
637,127580.0,-150.5679,0
638,127780.0,49.1323,1
639,127980.0,146.7445,1
640,128180.0,34.5757,1
641,128380.0,43.7937,1
642,128580.0,-93.2072,0
643,128780.0,-44.1551,0
644,128980.0,-69.3073,0
645,129180.0,64.7092,1
646,129380.0,44.3125,1
647,129580.0,29.5478,1
648,129780.0,-26.7484,0
649,129980.0,-70.7747,0
650,130180.0,-17.3953,0
651,130380.0,-23.5575,0
652,130580.0,46.7050,1
653,130780.0,-26.4246,0
654,130980.0,30.5727,1
655,131180.0,19.1478,1
656,131380.0,11.1222,1
657,131580.0,-88.5430,0
658,131780.0,-32.9064,0
659,131980.0,-72.7268,0
660,132180.0,71.0678,1
661,132380.0,-186.4332,0
662,132580.0,108.7370,1
663,132780.0,-6.8176,0
664,132980.0,104.0167,1
665,133180.0,-46.5419,0
666,133380.0,-16.8122,0
667,133580.0,93.7714,1
668,133780.0,65.6362,1
669,133980.0,-67.5299,0
670,134180.0,55.8759,1
671,134380.0,29.0442,1
672,134580.0,-33.5736,0
673,134780.0,-200.1564,0
674,134980.0,22.5077,1
675,135180.0,-38.4377,0
676,135380.0,207.4849,1
677,135580.0,93.6282,1
678,135780.0,-85.7968,0
679,135980.0,-0.9592,0
680,136180.0,-63.3526,0
681,136380.0,-33.1770,0
682,136580.0,65.8036,1
683,136780.0,73.4977,1
684,136980.0,106.7596,1
685,137180.0,-129.1239,0
686,137380.0,-63.6015,0
687,137580.0,26.9805,1
688,137780.0,111.8562,1
689,137980.0,12.1541,1
690,138180.0,71.4369,1
691,138380.0,-73.9770,0
692,138580.0,-42.6298,0
693,138780.0,-77.6635,0
694,138980.0,42.0821,1
695,139180.0,141.3288,1
696,139380.0,39.1343,1
697,139580.0,-44.0355,0
698,139780.0,-72.3346,0
699,139980.0,-61.8509,0
700,140180.0,-161.2275,0
701,140380.0,-65.7821,0
702,140580.0,29.0841,1
703,140780.0,100.0491,1
704,140980.0,-16.2313,0
705,141180.0,-18.7425,0
706,141380.0,-7.9419,0
707,141580.0,-53.7381,0
708,141780.0,23.6375,1
709,141980.0,-13.7842,0
710,142180.0,25.1735,1
711,142380.0,-82.6483,0
712,142580.0,-20.5669,0
713,142780.0,8.4409,1
714,142980.0,79.4427,1
715,143180.0,-7.6189,0
716,143380.0,-146.8807,0
717,143580.0,-33.6812,0
718,143780.0,-120.1522,0
719,143980.0,8.5180,1
720,144180.0,14.0216,1
721,144380.0,-113.5175,0
722,144580.0,32.6872,1
723,144780.0,-54.1040,0
724,144980.0,99.6474,1
725,145180.0,49.7649,1
726,145380.0,-83.5459,0
727,145580.0,-63.6995,0
728,145780.0,-25.0407,0
729,145980.0,1.5904,1
730,146180.0,-50.2251,0
731,146380.0,-131.5080,0
732,146580.0,85.7651,1
733,146780.0,-81.7731,0
734,146980.0,-55.1992,0
735,147180.0,43.9704,1
736,147380.0,-17.8468,0
737,147580.0,-82.3203,0
738,147780.0,57.7745,1
739,147980.0,-38.2584,0
740,148180.0,34.3570,1
741,148380.0,106.1549,1
