 frequency              onoise_spectrum        inoise_spectrum       
 4.731512589614813e+05  6.791308770732569e-07  3.413266541722857e-08 
 5.011872336272731e+05  6.750775550706688e-07  3.394773557977722e-08 
 5.308844442309892e+05  6.711746721653797e-07  3.377246137985325e-08 
 5.623413251903499e+05  6.674082783733616e-07  3.360640281833981e-08 
 5.956621435290114e+05  6.637641694302635e-07  3.344913875922448e-08 
 6.309573444801943e+05  6.602278054834098e-07  3.330026673202973e-08 
 6.683439175686156e+05  6.567842206472571e-07  3.315940273110365e-08 
 7.079457843841390e+05  6.534179225027502e-07  3.302618101651292e-08 
 7.498942093324569e+05  6.501127809065202e-07  3.290025392132944e-08 
 7.943282347242826e+05  6.468519050681313e-07  3.278129166983562e-08 
 8.413951416451962e+05  6.436175085365203e-07  3.266898221252099e-08 
 8.912509381337467e+05  6.403907614188452e-07  3.256303108269884e-08 
 9.440608762859247e+05  6.371516297572823e-07  3.246316128116404e-08 
 1.000000000000001e+06  6.338787022493056e-07  3.236911319443429e-08 
 1.059253725177290e+06  6.305490053405336e-07  3.228064455349444e-08 
 1.122018454301965e+06  6.271378084828405e-07  3.219753043986986e-08 
 1.188502227437020e+06  6.236184226060067e-07  3.211956334657554e-08 
 1.258925411794169e+06  6.199619964924529e-07  3.204655330192943e-08 
 1.333521432163326e+06  6.161373178568781e-07  3.197832806519539e-08 
 1.412537544622756e+06  6.121106283994515e-07  3.191473340376543e-08 
 1.496235656094436e+06  6.078454653357184e-07  3.185563346213820e-08 
 1.584893192461116e+06  6.033025455628805e-07  3.180091123443536e-08 
 1.678804018122563e+06  5.984397127514710e-07  3.175046915303341e-08 
 1.778279410038925e+06  5.932119722014057e-07  3.170422980636098e-08 
 1.883649089489803e+06  5.875716427916849e-07  3.166213680089424e-08 
 1.995262314968882e+06  5.814686594743200e-07  3.162415578224553e-08 
 2.113489039836650e+06  5.748510628513725e-07  3.159027563149486e-08 
 2.238721138568343e+06  5.676657134075971e-07  3.156050985316056e-08 
 2.371373705661659e+06  5.598592660605343e-07  3.153489817122996e-08 
 2.511886431509584e+06  5.513794343736669e-07  3.151350835008804e-08 
 2.660725059798813e+06  5.421765617578538e-07  3.149643825594075e-08 
 2.818382931264458e+06  5.322054980955354e-07  3.148381817436249e-08 
 2.985382618917964e+06  5.214277537896886e-07  3.147581339815633e-08 
 3.162277660168384e+06  5.098138694200978e-07  3.147262709862398e-08 
