 frequency              onoise_spectrum        inoise_spectrum       
 3.507518739525756e+01  3.800567800268188e-05  1.901531744031713e-06 
 3.548133892335832e+01  3.778050184548759e-05  1.890265542943764e-06 
 3.589219346450130e+01  3.755667018661809e-05  1.879066610916106e-06 
 3.630780547701093e+01  3.733417493585014e-05  1.867934543171947e-06 
 3.672823004980928e+01  3.711300805211575e-05  1.856868937393874e-06 
 3.715352290971808e+01  3.689316154320045e-05  1.845869393708757e-06 
 3.758374042884525e+01  3.667462746544383e-05  1.834935514672771e-06 
 3.801893963205697e+01  3.645739792344245e-05  1.824066905256488e-06 
 3.845917820453622e+01  3.624146506975244e-05  1.813263172830079e-06 
 3.890451449942894e+01  3.602682110459662e-05  1.802523927148595e-06 
 3.935500754557864e+01  3.581345827557221e-05  1.791848780337346e-06 
 3.981071705535063e+01  3.560136887735961e-05  1.781237346877370e-06 
 4.027170343254683e+01  3.539054525143420e-05  1.770689243590990e-06 
 4.073802778041220e+01  3.518097978577936e-05  1.760204089627466e-06 
 4.120975190973397e+01  3.497266491460261e-05  1.749781506448724e-06 
 4.168693834703450e+01  3.476559311805001e-05  1.739421117815187e-06 
 4.216965034285920e+01  3.455975692192616e-05  1.729122549771683e-06 
 4.265795188016025e+01  3.435514889741392e-05  1.718885430633453e-06 
 4.315190768277753e+01  3.415176166079623e-05  1.708709390972227e-06 
 4.365158322401761e+01  3.394958787318075e-05  1.698594063602411e-06 
 4.415704473533228e+01  3.374862024022428e-05  1.688539083567325e-06 
 4.466835921509736e+01  3.354885151185876e-05  1.678544088125572e-06 
 4.518559443749330e+01  3.335027448202291e-05  1.668608716737447e-06 
 4.570881896148858e+01  3.315288198838965e-05  1.658732611051455e-06 
 4.623810213992712e+01  3.295666691209996e-05  1.648915414890913e-06 
 4.677351412872093e+01  3.276162217749599e-05  1.639156774240619e-06 
 4.731512589614917e+01  3.256774075185708e-05  1.629456337233621e-06 
 4.786300923226497e+01  3.237501564513577e-05  1.619813754138055e-06 
 4.841723675841109e+01  3.218343990969773e-05  1.610228677344077e-06 
 4.897788193684579e+01  3.199300664006081e-05  1.600700761350859e-06 
 4.954501908048021e+01  3.180370897263731e-05  1.591229662753686e-06 
 5.011872336272843e+01  3.161554008547884e-05  1.581815040231113e-06 
 5.069907082747166e+01  3.142849319801906e-05  1.572456554532215e-06 
 5.128613839913773e+01  3.124256157082151e-05  1.563153868463911e-06 
 5.188000389289737e+01  3.105773850532858e-05  1.553906646878369e-06 
 5.248074602497854e+01  3.087401734361046e-05  1.544714556660480e-06 
 5.308844442310013e+01  3.069139146811604e-05  1.535577266715429e-06 
 5.370317963702659e+01  3.050985430142589e-05  1.526494447956316e-06 
 5.432503314924465e+01  3.032939930600856e-05  1.517465773291876e-06 
 5.495408738576381e+01  3.015001998397353e-05  1.508490917614267e-06 
 5.559042572704173e+01  2.997170987683084e-05  1.499569557786932e-06 
 5.623413251903629e+01  2.979446256524937e-05  1.490701372632538e-06 
 5.688529308438555e+01  2.961827166881670e-05  1.481886042920986e-06 
 5.754399373371712e+01  2.944313084580148e-05  1.473123251357507e-06 
 5.821032177708859e+01  2.926903379291771e-05  1.464412682570813e-06 
 5.888436553556037e+01  2.909597424508736e-05  1.455754023101332e-06 
 5.956621435290254e+01  2.892394597520906e-05  1.447146961389528e-06 
 6.025595860743729e+01  2.875294279392479e-05  1.438591187764263e-06 
 6.095368972401845e+01  2.858295854938797e-05  1.430086394431260e-06 
 6.165950018614978e+01  2.841398712703640e-05  1.421632275461620e-06 
