 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.602900059492219e-07  4.679214797342582e-07  1.199999816815697e+00  7.459373485883125e-01  7.540623385850534e-01  1.200000000000000e+00 
 2.604900059492220e-07 -4.105022298839013e-07  1.199999843557706e+00  7.459373437511666e-01  7.540623365487549e-01  1.200000000000000e+00 
 2.606900059492220e-07  4.654053673353659e-07  1.199999816842937e+00  7.459373485882360e-01  7.540623385907568e-01  1.200000000000000e+00 
 2.608900059492220e-07 -4.079916039549476e-07  1.199999843529898e+00  7.459373437512625e-01  7.540623365430776e-01  1.200000000000000e+00 
 2.610900059492220e-07  4.629002778919914e-07  1.199999816871899e+00  7.459373485881220e-01  7.540623385964002e-01  1.200000000000000e+00 
 2.612900059492220e-07 -4.054919904889127e-07  1.199999843499926e+00  7.459373437514009e-01  7.540623365374782e-01  1.200000000000000e+00 
 2.614900059492220e-07  4.604061880411412e-07  1.199999816902328e+00  7.459373485879645e-01  7.540623386019871e-01  1.200000000000000e+00 
 2.616900059492220e-07 -4.030033574103381e-07  1.199999843468347e+00  7.459373437515673e-01  7.540623365319364e-01  1.200000000000000e+00 
 2.618900059492221e-07  4.579230645587559e-07  1.199999816934502e+00  7.459373485877623e-01  7.540623386074947e-01  1.200000000000000e+00 
 2.620900059492221e-07 -4.005256598088260e-07  1.199999843435427e+00  7.459373437517821e-01  7.540623365264476e-01  1.200000000000000e+00 
 2.622900059492221e-07  4.554508461504267e-07  1.199999816968412e+00  7.459373485875347e-01  7.540623386129420e-01  1.200000000000000e+00 
 2.624900059492221e-07 -3.980588568417782e-07  1.199999843400489e+00  7.459373437520392e-01  7.540623365210319e-01  1.200000000000000e+00 
 2.626900059492221e-07  4.529894988771648e-07  1.199999817003653e+00  7.459373485872666e-01  7.540623386183273e-01  1.200000000000000e+00 
 2.628900059492221e-07 -3.956028884939444e-07  1.199999843364403e+00  7.459373437523348e-01  7.540623365156808e-01  1.200000000000000e+00 
 2.630900059492222e-07  4.505389585538887e-07  1.199999817040736e+00  7.459373485869580e-01  7.540623386236517e-01  1.200000000000000e+00 
 2.632900059492222e-07 -3.931577114496366e-07  1.199999843326574e+00  7.459373437526586e-01  7.540623365103885e-01  1.200000000000000e+00 
 2.634900059492222e-07  4.480991939404050e-07  1.199999817079215e+00  7.459373485866069e-01  7.540623386289059e-01  1.200000000000000e+00 
 2.636900059492222e-07 -3.907232927174797e-07  1.199999843287128e+00  7.459373437530206e-01  7.540623365051510e-01  1.200000000000000e+00 
 2.638900059492222e-07  4.456701689651415e-07  1.199999817119403e+00  7.459373485862215e-01  7.540623386341014e-01  1.200000000000000e+00 
 2.640900059492222e-07 -3.882995900819295e-07  1.199999843246381e+00  7.459373437534274e-01  7.540623364999844e-01  1.200000000000000e+00 
 2.642900059492222e-07  4.432518205153699e-07  1.199999817160718e+00  7.459373485857986e-01  7.540623386392393e-01  1.200000000000000e+00 
 2.644900059492223e-07 -3.858865355274470e-07  1.199999843203790e+00  7.459373437538623e-01  7.540623364948794e-01  1.200000000000000e+00 
 2.646900059492223e-07  4.408441177816067e-07  1.199999817204028e+00  7.459373485853421e-01  7.540623386443176e-01  1.200000000000000e+00 
 2.648900059492223e-07 -3.834841179290316e-07  1.199999843159959e+00  7.459373437543446e-01  7.540623364898369e-01  1.200000000000000e+00 
 2.650900059492223e-07  4.384470184118323e-07  1.199999817248466e+00  7.459373485848521e-01  7.540623386493371e-01  1.200000000000000e+00 
 2.652900059492223e-07 -3.810922717889234e-07  1.199999843114497e+00  7.459373437548582e-01  7.540623364848571e-01  1.200000000000000e+00 
 2.654900059492223e-07  4.360604742875921e-07  1.199999817294527e+00  7.459373485843207e-01  7.540623386542951e-01  1.200000000000000e+00 
 2.656900059492223e-07 -3.787109650642574e-07  1.199999843067672e+00  7.459373437553988e-01  7.540623364799324e-01  1.200000000000000e+00 
 2.658900059492224e-07  4.336844381133131e-07  1.199999817341878e+00  7.459373485837438e-01  7.540623386591904e-01  1.200000000000000e+00 
 2.660900059492224e-07 -3.763401369618228e-07  1.199999843019439e+00  7.459373437559785e-01  7.540623364750648e-01  1.200000000000000e+00 
 2.662900059492224e-07  4.313188653615476e-07  1.199999817390912e+00  7.459373485831474e-01  7.540623386640234e-01  1.200000000000000e+00 
 2.664900059492224e-07 -3.739797590330218e-07  1.199999842969824e+00  7.459373437566015e-01  7.540623364702592e-01  1.200000000000000e+00 
 2.666900059492224e-07  4.289637124020636e-07  1.199999817440922e+00  7.459373485825097e-01  7.540623386688030e-01  1.200000000000000e+00 
 2.668900059492224e-07 -3.716297673325055e-07  1.199999842918916e+00  7.459373437572514e-01  7.540623364655105e-01  1.200000000000000e+00 
 2.670900059492225e-07  4.266189298438260e-07  1.199999817492585e+00  7.459373485818398e-01  7.540623386735199e-01  1.200000000000000e+00 
 2.672900059492225e-07 -3.692901393007604e-07  1.199999842866410e+00  7.459373437579422e-01  7.540623364608220e-01  1.200000000000000e+00 
 2.674900059492225e-07  4.242844904995124e-07  1.199999817545798e+00  7.459373485811372e-01  7.540623386781876e-01  1.200000000000000e+00 
 2.676900059492225e-07 -3.669608276630647e-07  1.199999842812675e+00  7.459373437586675e-01  7.540623364561931e-01  1.200000000000000e+00 
 2.678900059492225e-07  4.219603397821574e-07  1.199999817599899e+00  7.459373485804018e-01  7.540623386827856e-01  1.200000000000000e+00 
 2.680900059492225e-07 -3.646417813705334e-07  1.199999842757484e+00  7.459373437594229e-01  7.540623364516148e-01  1.200000000000000e+00 
 2.682900059492225e-07  4.196464447795416e-07  1.199999817655740e+00  7.459373485796248e-01  7.540623386873334e-01  1.200000000000000e+00 
 2.684900059492226e-07 -3.623329711004471e-07  1.199999842701210e+00  7.459373437602123e-01  7.540623364470954e-01  1.200000000000000e+00 
 2.686900059492226e-07  4.173427457987090e-07  1.199999817712444e+00  7.459373485788205e-01  7.540623386918172e-01  1.200000000000000e+00 
 2.688900059492226e-07 -3.600343399760103e-07  1.199999842643241e+00  7.459373437610320e-01  7.540623364426282e-01  1.200000000000000e+00 
 2.690900059492226e-07  4.150492218232282e-07  1.199999817770698e+00  7.459373485779790e-01  7.540623386962514e-01  1.200000000000000e+00 
 2.692900059492226e-07 -3.577458585686762e-07  1.199999842584238e+00  7.459373437618850e-01  7.540623364382250e-01  1.200000000000000e+00 
 2.694900059492226e-07  4.127658184345370e-07  1.199999817830386e+00  7.459373485771048e-01  7.540623387006272e-01  1.200000000000000e+00 
 2.696900059492226e-07 -3.554674749695975e-07  1.199999842524193e+00  7.459373437627755e-01  7.540623364338697e-01  1.200000000000000e+00 
 2.698900059492227e-07  4.104924804541598e-07  1.199999817890932e+00  7.459373485762051e-01  7.540623387049470e-01  1.200000000000000e+00 
 2.700450029746113e-07 -3.528706580011961e-07  1.199999842453525e+00  7.459373437638328e-01  7.540623364289565e-01  1.200000000000000e+00 
 2.702000000000000e-07  4.075739264977628e-07  1.199999817971309e+00  7.459373485749926e-01  7.540623387104451e-01  1.200000000000000e+00 
 2.702002647065964e-07 -4.226437232349800e-05  1.199956305918886e+00  7.459305605533609e-01  7.540555139912167e-01  1.198411760421889e+00 
 2.702007941197892e-07 -1.207031415256605e-04  1.199875346259609e+00  7.459124210796436e-01  7.540372320227051e-01  1.195235281265112e+00 
 2.702018529461748e-07 -2.493517634812774e-04  1.199735112086311e+00  7.458727701203706e-01  7.539970611566218e-01  1.188882322951557e+00 
 2.702032297053985e-07 -3.784488553669638e-04  1.199580360549785e+00  7.458301330381144e-01  7.539535755478103e-01  1.180621767609335e+00 
 2.702050080763086e-07 -4.949125463833256e-04  1.199420759614884e+00  7.457820121613766e-01  7.539042300427352e-01  1.169951542148692e+00 
 2.702085648181288e-07 -6.197268997959275e-04  1.199195495143317e+00  7.457025291640252e-01  7.538220981328595e-01  1.148611091227407e+00 
 2.702153807933725e-07 -6.477194846595630e-04  1.198971104513495e+00  7.455861123316655e-01  7.537001429572807e-01  1.107715239765104e+00 
 2.702241736590296e-07 -5.372632268980797e-04  1.198876827421583e+00  7.454796453532899e-01  7.535862657526956e-01  1.054958045822776e+00 
 2.702417593903436e-07 -3.298164691093753e-04  1.198887972608466e+00  7.453293119650565e-01  7.534240637228378e-01  9.494436579384391e-01 
 2.702585477499237e-07 -2.389622397601629e-04  1.198965056818723e+00  7.452097104816893e-01  7.532988255173204e-01  8.487135004580650e-01 
 2.702713974135276e-07 -1.653570415466722e-04  1.199038456919191e+00  7.451209918855706e-01  7.532112993586557e-01  7.716155188349284e-01 
 2.702865099179706e-07  1.349173018009442e-04  1.199269372072228e+00  7.450788679127561e-01  7.531865785790192e-01  6.809404921767274e-01 
 2.703023410239350e-07  7.549973354390351e-04  1.199773587214904e+00  7.452427435545583e-01  7.534040746278696e-01  5.859538563903787e-01 
 2.703176466127507e-07  1.589694913011703e-03  1.200450990589095e+00  7.458192883072898e-01  7.540787651464717e-01  4.941203234963009e-01 
 2.703296319748719e-07  2.422150127159811e-03  1.201078635504898e+00  7.467555579600694e-01  7.551258456134309e-01  4.222081507690504e-01 
 2.703426234560258e-07  3.567680780762575e-03  1.201863266910267e+00  7.484479196415420e-01  7.569715138312871e-01  3.442592638456631e-01 
 2.703551222279944e-07  4.953115943225480e-03  1.202727543938183e+00  7.507980838250020e-01  7.595008393837719e-01  2.692666320338056e-01 
 2.703700064202252e-07  7.077246805528235e-03  1.203957810860414e+00  7.544989081027379e-01  7.634431701767520e-01  1.799614786487751e-01 
 2.703791665196483e-07  8.573155834570266e-03  1.204813744663679e+00  7.571964438270963e-01  7.662698482645606e-01  1.250008821106847e-01 
 2.703855695593157e-07  9.344092548469029e-03  1.205289820684355e+00  7.592031652957326e-01  7.683110745455460e-01  8.658264410604910e-02 
 2.703918254114319e-07  9.155657776757774e-03  1.205289293340859e+00  7.612141290641923e-01  7.702327383548337e-01  4.904753140863560e-02 
 2.703959127057160e-07  8.037375996375253e-03  1.204776095989524e+00  7.625355016745869e-01  7.714074502185659e-01  2.452376570449100e-02 
 2.704000000000000e-07  5.615931573485292e-03  1.203570705016284e+00  7.638305280498752e-01  7.725135623479715e-01  2.886579864025407e-14 
 2.704001861813376e-07  5.510125598664442e-03  1.203537396352937e+00  7.638925529041283e-01  7.725664343438124e-01  0.000000000000000e+00 
 2.704005585440125e-07  5.284195669969252e-03  1.203461157720364e+00  7.640191844471286e-01  7.726748969872449e-01  0.000000000000000e+00 
 2.704013032693625e-07  4.747810740024713e-03  1.203255156297504e+00  7.642734977630069e-01  7.728938381063736e-01  0.000000000000000e+00 
 2.704026833214136e-07  3.492930113566536e-03  1.202718520607345e+00  7.647301317867392e-01  7.732888856405918e-01  0.000000000000000e+00 
 2.704044041403704e-07  1.513890584950550e-03  1.201799450284806e+00  7.652752287111979e-01  7.737664504009091e-01  0.000000000000000e+00 
 2.704078457782839e-07 -3.508401290469365e-03  1.199314737258580e+00  7.662829306103263e-01  7.746750177652272e-01  0.000000000000000e+00 
