 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 3.127999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594916024680e-09  1.088322893686747e-09  4.953110148702040e-09  9.501176161726651e-09 
 3.228000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594528964505e-09  1.088322975544435e-09  4.953110091673006e-09  9.501176079868963e-09 
 3.328000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594869187146e-09  1.088322929680989e-09  4.953110195539574e-09  9.501176125732409e-09 
 3.428000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594723578795e-09  1.088322907041492e-09  4.953109897058716e-09  9.501176148371906e-09 
 3.528000000000000e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594744829157e-09  1.088322894576132e-09  4.953110319897563e-09  9.501174384480427e-09 
 3.628000000000000e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594811724431e-09  1.088322953041311e-09  4.953110253002289e-09  9.501174326015248e-09 
 3.728000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594697774783e-09  1.088322911120803e-09  4.953109922862728e-09  9.501176144292595e-09 
 3.828000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594683138054e-09  1.088322875642404e-09  4.953109937499457e-09  9.501176179770994e-09 
 3.928000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594560514788e-09  1.088322903580092e-09  4.953110060122723e-09  9.501176151833306e-09 
 4.028000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594943780256e-09  1.088322908899883e-09  4.953110120946465e-09  9.501176146513516e-09 
 4.128000000000002e-08  1.079999996069147e+00  2.999999994705251e+00  2.908595413998738e-09  1.088322958667303e-09  4.953110094817192e-09  9.501176096746095e-09 
 4.228000000000002e-08  1.079999996069147e+00  2.999999994705252e+00  2.908594806845521e-09  1.088322856629479e-09  4.953110257881199e-09  9.501174422427079e-09 
 4.328000000000002e-08  1.079999996069147e+00  2.999999994705251e+00  2.908594895099578e-09  1.088322832087970e-09  4.953110169627142e-09  9.501176223325428e-09 
 4.428000000000002e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594543818074e-09  1.088322887270473e-09  4.953110076819436e-09  9.501176168142926e-09 
 4.528000000000003e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594792317212e-09  1.088322835752658e-09  4.953110272409508e-09  9.501174443303901e-09 
 4.628000000000003e-08  1.079999996069148e+00  2.999999994705251e+00  2.908595172655334e-09  1.088322931097228e-09  4.953109892071386e-09  9.501176124316170e-09 
 4.728000000000003e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594608761784e-09  1.088322905283475e-09  4.953110011875726e-09  9.501176150129923e-09 
