 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 4.299291740722065e-07  2.133017168922071e-06  1.199996600815482e+00  7.490964068047492e-01  7.508963956955318e-01  1.200000000000000e+00 
 4.301291740722065e-07  2.111985296113240e-06  1.199996632833651e+00  7.490970006490459e-01  7.508969911157277e-01  1.200000000000000e+00 
 4.303291740722065e-07  2.091369101788607e-06  1.199996664234243e+00  7.490974918839011e-01  7.508974836551134e-01  1.200000000000000e+00 
 4.305291740722065e-07  2.071156387526828e-06  1.199996695032736e+00  7.490978982390479e-01  7.508978910901365e-01  1.200000000000000e+00 
 4.307291740722066e-07  2.051335415031941e-06  1.199996725244798e+00  7.490982343807059e-01  7.508982281257038e-01  1.200000000000000e+00 
 4.309291740722066e-07  2.031894886077007e-06  1.199996754885429e+00  7.490985124409633e-01  7.508985069259099e-01  1.200000000000000e+00 
 4.311291740722066e-07  2.012823945193601e-06  1.199996783969315e+00  7.490987424555979e-01  7.508987375530617e-01  1.200000000000000e+00 
 4.313291740722066e-07  1.994112145054431e-06  1.199996812510315e+00  7.490989327263442e-01  7.508989283308201e-01  1.200000000000000e+00 
 4.315291740722066e-07  1.975749462987532e-06  1.199996840523484e+00  7.490990901204930e-01  7.508990861446372e-01  1.200000000000000e+00 
 4.317291740722066e-07  1.957726189203704e-06  1.199996868022399e+00  7.490992203187303e-01  7.508992166902435e-01  1.200000000000000e+00 
 4.319291740722066e-07  1.940032989874129e-06  1.199996895019702e+00  7.490993280201892e-01  7.508993246792361e-01  1.200000000000000e+00 
 4.321291740722067e-07  1.922660927167348e-06  1.199996921529531e+00  7.490994171120680e-01  7.508994140090974e-01  1.200000000000000e+00 
 4.323291740722067e-07  1.905601302288221e-06  1.199996947563924e+00  7.490994908098783e-01  7.508994879038808e-01  1.200000000000000e+00 
 4.325291740722067e-07  1.888845781394168e-06  1.199996973135589e+00  7.490995517735424e-01  7.508995490305603e-01  1.200000000000000e+00 
 4.327291740722067e-07  1.872386303561191e-06  1.199996998256348e+00  7.490996022033665e-01  7.508995995952948e-01  1.200000000000000e+00 
 4.329291740722067e-07  1.856215084546329e-06  1.199997022937455e+00  7.490996439194756e-01  7.508996414230538e-01  1.200000000000000e+00 
 4.331291740722067e-07  1.840324641631745e-06  1.199997047190208e+00  7.490996784275034e-01  7.508996760234761e-01  1.200000000000000e+00 
 4.333291740722068e-07  1.824707723234794e-06  1.199997071025721e+00  7.490997069729195e-01  7.508997046453383e-01  1.200000000000000e+00 
 4.335291740722068e-07  1.809357326046283e-06  1.199997094454321e+00  7.490997305859897e-01  7.508997283216671e-01  1.200000000000000e+00 
 4.337291740722068e-07  1.794266697395680e-06  1.199997117486288e+00  7.490997501189757e-01  7.508997479069854e-01  1.200000000000000e+00 
 4.339291740722068e-07  1.779429300023069e-06  1.199997140131575e+00  7.490997662768709e-01  7.508997641081686e-01  1.200000000000000e+00 
 4.341291740722068e-07  1.764838816352584e-06  1.199997162399680e+00  7.490997796428449e-01  7.508997775099501e-01  1.200000000000000e+00 
 4.343291740722068e-07  1.750489143003485e-06  1.199997184300061e+00  7.490997906993151e-01  7.508997885960309e-01  1.200000000000000e+00 
 4.345291740722068e-07  1.736374366679881e-06  1.199997205841547e+00  7.490997998453347e-01  7.508997977665388e-01  1.200000000000000e+00 
 4.347291740722069e-07  1.722488770006655e-06  1.199997227032751e+00  7.490998074110138e-01  7.508998053524499e-01  1.200000000000000e+00 
 4.349291740722069e-07  1.708826828334852e-06  1.199997247882112e+00  7.490998136694158e-01  7.508998116275685e-01  1.200000000000000e+00 
 4.351291740722069e-07  1.695383179108494e-06  1.199997268397798e+00  7.490998188464157e-01  7.508998168183899e-01  1.200000000000000e+00 
 4.353291740722069e-07  1.682152637904999e-06  1.199997288587835e+00  7.490998231288711e-01  7.508998211122598e-01  1.200000000000000e+00 
 4.355291740722069e-07  1.669130184153222e-06  1.199997308459842e+00  7.490998266713543e-01  7.508998246641593e-01  1.200000000000000e+00 
 4.357291740722069e-07  1.656310952724729e-06  1.199997328021370e+00  7.490998296017198e-01  7.508998276022918e-01  1.200000000000000e+00 
 4.359291740722069e-07  1.643656339065946e-06  1.199997347382883e+00  7.490998320257606e-01  7.508998300327636e-01  1.200000000000000e+00 
 4.361291740722070e-07  1.631225096086336e-06  1.199997366374379e+00  7.490998340308910e-01  7.508998320431689e-01  1.200000000000000e+00 
