id,status,invalid,ngspice_exit,wall_s,t_trip_d_us,t_gate_1V_us,cause,kinds,log
c_mid_ff_m40C_vdd1p32_vdda3p6_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1640,,,,,c_mid_pex_c1414_tl_ff_-40C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_c_mid_ff_m40C_vdd1p32_vdda3p6_c1414m.log
q_tt_27C_vdd1p08_vdda3p0_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1640,,,,,q_pex_c1414_tl_tt_27C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p08_vdda3p0_c1414m.log
q_tt_27C_vdd1p32_vdda3p6_c1414m,failed (invalid),cosim mismatch+failed footer,0,1338,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p32_vdda3p6_c1414m.log
q_tt_27C_vdd1p08_vdda3p6_c1414m,failed (invalid),cosim mismatch+failed footer,0,1415,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p08_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p08_vdda3p6_c1414m.log
q_tt_27C_vdd1p32_vdda3p0_c1414m,failed (invalid),cosim mismatch+failed footer,0,1363,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_vdd1p32_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_q_tt_27C_vdd1p32_vdda3p0_c1414m.log
q_ss_125C_vdd1p08_vdda3p0_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1633,,,,,q_pex_c1414_tl_ss_125C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_q_ss_125C_vdd1p08_vdda3p0_c1414m.log
q_ff_m40C_vdd1p32_vdda3p6_c1414m,failed (invalid),cosim mismatch+failed footer,0,1449,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_ff_-40C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_q_ff_m40C_vdd1p32_vdda3p6_c1414m.log
gA_ss_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,11,,,,POWERUP,gA_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_ss_125C_c1414m.log
gA_ff_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,9,,,,POWERUP,gA_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_ff_m40C_c1414m.log
gB_ss_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,9,,,,POWERUP,gB_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_ss_125C_c1414m.log
gB_ff_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,1,5,,,,POWERUP,gB_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_ff_m40C_c1414m.log
gA_pd_ss_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,9,,,,POWERUP,gA_pd_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_pd_ss_125C_c1414m.log
gA_pd_ff_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,9,,,,POWERUP,gA_pd_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_pd_ff_m40C_c1414m.log
gB_pd_ss_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,12,,,,POWERUP,gB_pd_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_pd_ss_125C_c1414m.log
gB_pd_ff_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,12,,,,POWERUP,gB_pd_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_pd_ff_m40C_c1414m.log
q_t2f_tt_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1420,,,0,QUIET+T2F+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_-40C_ovr-bgrsch_t2ftl_nodcn_gear_clockfix_functional_q_t2f_tt_m40C_c1414m.log
q_t2f_tt_27C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1442,,,0,QUIET+T2F+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_ovr-bgrsch_t2ftl_nodcn_gear_clockfix_functional_q_t2f_tt_27C_c1414m.log
q_t2f_tt_125C_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1626,,,,,q_pex_c1414_tl_tt_125C_ovr-bgrsch_t2ftl_nodcn_gear_clockfix_functional_q_t2f_tt_125C_c1414m.log
osc_ss_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,494,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ss_125C_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ss_125C_c1414m.log
osc_ss_125C_vddlo_c1414m,failed (invalid),cosim mismatch+failed footer,0,465,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ss_125C_vdd1p08_vdda3p3_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ss_125C_vddlo_c1414m.log
osc_ff_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,450,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ff_-40C_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ff_m40C_c1414m.log
osc_ff_m40C_vddlo_c1414m,failed (invalid),cosim mismatch+failed footer,0,349,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ff_-40C_vdd1p32_vdda3p3_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ff_m40C_vddlo_c1414m.log
osc_tt_27C_c1414m,failed (invalid),cosim mismatch+failed footer,0,339,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_tt_27C_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_tt_27C_c1414m.log
f_mid_ss_85C_r2_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1623,,,,,f_mid_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_85C_r2_c1414m.log
c_mid_tt_27C_r2_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1622,,,,,c_mid_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_r2_c1414m.log
c_mid_tt_85C_r2_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1621,,,,,c_mid_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_85C_r2_c1414m.log
c_mid_ss_125C_r2_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1621,,,,,c_mid_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_c_mid_ss_125C_r2_c1414m.log
c_tt_85C_r2_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1621,,,,,c_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_c_tt_85C_r2_c1414m.log
f_mid_ss_85C_r3_c1414m,completed,,0,9008,1.04647,1.33492,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_85C_r3_c1414m.log
e20_tt_m40C_r3_c1414m,completed,,0,6934,1.04637,1.33359,2,QUIET+TRIP,e20_pex_c1414_tl_tt_-40C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_m40C_r3_c1414m.log
e20_tt_27C_r3_c1414m,completed,,0,12742,1.04635,1.33393,2,QUIET+TRIP,e20_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_27C_r3_c1414m.log
e20_tt_85C_r3_c1414m,completed,,0,13386,1.04658,1.33443,2,QUIET+TRIP,e20_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_85C_r3_c1414m.log
e20_tt_125C_r3_c1414m,completed,,0,7191,1.04647,1.33449,2,QUIET+TRIP,e20_pex_c1414_tl_tt_125C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_125C_r3_c1414m.log
e20_ss_m40C_r3_c1414m,completed,,0,4989,1.04647,1.33416,2,QUIET+TRIP,e20_pex_c1414_tl_ss_-40C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_m40C_r3_c1414m.log
e20_ss_27C_r3_c1414m,completed,,0,7977,1.04651,1.33463,2,QUIET+TRIP,e20_pex_c1414_tl_ss_27C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_27C_r3_c1414m.log
e20_ss_85C_r3_c1414m,completed,,0,4207,1.04644,1.33488,2,QUIET+TRIP,e20_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_85C_r3_c1414m.log
e20_ss_125C_r3_c1414m,completed,,0,9019,1.04641,1.33504,2,QUIET+TRIP,e20_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_125C_r3_c1414m.log
e20_ff_m40C_r3_c1414m,completed,,0,5692,1.04651,1.33339,2,QUIET+TRIP,e20_pex_c1414_tl_ff_-40C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_m40C_r3_c1414m.log
e20_ff_27C_r3_c1414m,completed,,0,5583,1.04658,1.33373,2,QUIET+TRIP,e20_pex_c1414_tl_ff_27C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_27C_r3_c1414m.log
e20_ff_85C_r3_c1414m,completed,,0,7917,1.04647,1.33387,2,QUIET+TRIP,e20_pex_c1414_tl_ff_85C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_85C_r3_c1414m.log
e20_ff_125C_r3_c1414m,completed,,0,6040,1.04647,1.33403,2,QUIET+TRIP,e20_pex_c1414_tl_ff_125C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_125C_r3_c1414m.log
c_mid_tt_27C_vdd1p08_vdda3p0_r3_c1414m,completed,,0,8149,1.04654,1.30791,2,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p08_vdda3p0_r3_c1414m.log
c_mid_tt_27C_vdd1p32_vdda3p6_r3_c1414m,completed,,0,6151,1.0465,1.35844,2,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p32_vdda3p6_r3_c1414m.log
