time="2026-09-23T10:18:17+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
time="2026-09-23T10:18:18+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
Resource enforcement: CPU affinity; memory reservation only (rootless cgroups v1).
time="2026-09-23T10:18:19+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
EXACT_DEF_PINS_PASSED 46
# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.6 um, max 44.5 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 18
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.120     42.6   (133.4,94.5)  (173.8,109.6)  (213.6,124.7)
chain.121     43.1   (123.8,41.6)  (164.2,56.7)  (205.4,75.6)
chain.122     42.6   (123.8,11.3)  (163.7,26.5)  (206.4,41.6)
chain.123     42.6   (136.8,11.3)  (176.6,26.5)  (219.4,37.8)
chain.124     42.6   (64.3,30.2)  (108.0,45.4)  (147.8,60.5)
chain.125     41.4   (24.0,34.0)  (63.8,49.1)  (103.7,60.5)
chain.126     43.1   (39.8,22.7)  (80.2,37.8)  (128.2,52.9)
chain.127     43.1   (109.9,26.5)  (150.2,41.6)  (192.0,56.7)
u_cnt_corr.0       42.6   (221.3,147.4)  (261.1,162.5)  (301.0,177.7)
u_cnt_corr.1       42.6   (243.8,151.2)  (283.7,166.3)  (324.0,181.4)
u_cnt_corr.2       42.6   (256.8,151.2)  (296.6,166.3)  (337.0,181.4)
u_cnt_corr.3       42.6   (256.8,132.3)  (296.6,147.4)  (336.5,162.5)
