 v-sweep         id_hv           id_lv          
 2.37000000e+00  1.91080051e-04  8.39979611e-04 
 2.38000000e+00  1.91814399e-04  8.41130200e-04 
 2.39000000e+00  1.92545069e-04  8.42266518e-04 
 2.40000000e+00  1.93272077e-04  8.43388743e-04 
 2.41000000e+00  1.93995435e-04  8.44497048e-04 
 2.42000000e+00  1.94715159e-04  8.45591607e-04 
 2.43000000e+00  1.95431263e-04  8.46672589e-04 
 2.44000000e+00  1.96143760e-04  8.47740159e-04 
 2.45000000e+00  1.96852665e-04  8.48794484e-04 
 2.46000000e+00  1.97557991e-04  8.49835725e-04 
 2.47000000e+00  1.98259754e-04  8.50864041e-04 
 2.48000000e+00  1.98957966e-04  8.51879590e-04 
 2.49000000e+00  1.99654408e-04  8.52888807e-04 
 2.50000000e+00  2.00345554e-04  8.53879209e-04 
 2.51000000e+00  2.01033191e-04  8.54857303e-04 
 2.52000000e+00  2.01717333e-04  8.55823238e-04 
 2.53000000e+00  2.02397994e-04  8.56777160e-04 
 2.54000000e+00  2.03075187e-04  8.57719213e-04 
 2.55000000e+00  2.03748925e-04  8.58649539e-04 
 2.56000000e+00  2.04419223e-04  8.59568279e-04 
 2.57000000e+00  2.05086093e-04  8.60475570e-04 
 2.58000000e+00  2.05749549e-04  8.61371548e-04 
 2.59000000e+00  2.06409604e-04  8.62256348e-04 
 2.60000000e+00  2.07066271e-04  8.63130102e-04 
 2.61000000e+00  2.07719565e-04  8.63992939e-04 
 2.62000000e+00  2.08369497e-04  8.64844989e-04 
 2.63000000e+00  2.09016081e-04  8.65686379e-04 
 2.64000000e+00  2.09659330e-04  8.66517232e-04 
 2.65000000e+00  2.10299257e-04  8.67337673e-04 
 2.66000000e+00  2.10935875e-04  8.68147822e-04 
 2.67000000e+00  2.11569196e-04  8.68947800e-04 
 2.68000000e+00  2.12199234e-04  8.69737724e-04 
 2.69000000e+00  2.12826002e-04  8.70517712e-04 
 2.70000000e+00  2.13449511e-04  8.71287877e-04 
 2.71000000e+00  2.14069776e-04  8.72048333e-04 
 2.72000000e+00  2.14686807e-04  8.72799191e-04 
 2.73000000e+00  2.15300619e-04  8.73540562e-04 
 2.74000000e+00  2.15911223e-04  8.74272555e-04 
 2.75000000e+00  2.16518632e-04  8.74995276e-04 
 2.76000000e+00  2.17122858e-04  8.75708831e-04 
 2.77000000e+00  2.17723914e-04  8.76413325e-04 
 2.78000000e+00  2.18321811e-04  8.77108860e-04 
 2.79000000e+00  2.18916563e-04  8.77795537e-04 
 2.80000000e+00  2.19508181e-04  8.78473457e-04 
 2.81000000e+00  2.20096678e-04  8.79142718e-04 
 2.82000000e+00  2.20682065e-04  8.79803417e-04 
 2.83000000e+00  2.21264355e-04  8.80455651e-04 
 2.84000000e+00  2.21843559e-04  8.81099515e-04 
 2.85000000e+00  2.22419690e-04  8.81735101e-04 
 2.86000000e+00  2.22992760e-04  8.82362503e-04 
 2.87000000e+00  2.23562779e-04  8.82981810e-04 
 2.88000000e+00  2.24129761e-04  8.83593113e-04 
 2.89000000e+00  2.24693717e-04  8.84196501e-04 
 2.90000000e+00  2.25254658e-04  8.84792061e-04 
 2.91000000e+00  2.25812596e-04  8.85379879e-04 
 2.92000000e+00  2.26367543e-04  8.85960040e-04 
 2.93000000e+00  2.26919510e-04  8.86532628e-04 
 2.94000000e+00  2.27468509e-04  8.87097727e-04 
 2.95000000e+00  2.28014551e-04  8.87655418e-04 
 2.96000000e+00  2.28557648e-04  8.88205782e-04 
 2.97000000e+00  2.29097810e-04  8.88748898e-04 
 2.98000000e+00  2.29635050e-04  8.89284845e-04 
 2.99000000e+00  2.30169378e-04  8.89813701e-04 
 3.00000000e+00  2.30700807e-04  8.90335542e-04 
 3.01000000e+00  2.31229346e-04  8.90850444e-04 
 3.02000000e+00  2.31755007e-04  8.91358482e-04 
 3.03000000e+00  2.32277801e-04  8.91859728e-04 
 3.04000000e+00  2.32797739e-04  8.92354257e-04 
 3.05000000e+00  2.33314832e-04  8.92842140e-04 
 3.06000000e+00  2.33829092e-04  8.93323447e-04 
 3.07000000e+00  2.34340528e-04  8.93798249e-04 
 3.08000000e+00  2.34849152e-04  8.94266615e-04 
 3.09000000e+00  2.35354975e-04  8.94728613e-04 
 3.10000000e+00  2.35858007e-04  8.95184311e-04 
 3.11000000e+00  2.36358259e-04  8.95633775e-04 
 3.12000000e+00  2.36855742e-04  8.96077070e-04 
 3.13000000e+00  2.37350466e-04  8.96514262e-04 
 3.14000000e+00  2.37842442e-04  8.96945414e-04 
 3.15000000e+00  2.38331680e-04  8.97370591e-04 
 3.16000000e+00  2.38818192e-04  8.97789853e-04 
 3.17000000e+00  2.39301987e-04  8.98203263e-04 
 3.18000000e+00  2.39783076e-04  8.98610882e-04 
 3.19000000e+00  2.40261469e-04  8.99012770e-04 
 3.20000000e+00  2.40737176e-04  8.99408986e-04 
 3.21000000e+00  2.41210209e-04  8.99799589e-04 
 3.22000000e+00  2.41680576e-04  9.00184636e-04 
 3.23000000e+00  2.42148289e-04  9.00564185e-04 
 3.24000000e+00  2.42613358e-04  9.00938293e-04 
 3.25000000e+00  2.43075791e-04  9.01307015e-04 
 3.26000000e+00  2.43534291e-04  9.01667750e-04 
 3.27000000e+00  2.43991491e-04  9.02025891e-04 
 3.28000000e+00  2.44446087e-04  9.02378810e-04 
 3.29000000e+00  2.44898089e-04  9.02726560e-04 
 3.30000000e+00  2.45347506e-04  9.03069191e-04 
