equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
33	40	-0x1.22c163260ebddp-9	0x1.6f8968c7d7fcfp+0	-0x1.22c163260eb51p-9	-0x1.22c163260eb51p-9	0x1.1800000000000p-54	6.07153216591882483e-17	0x1.a197be2f1e733p+0	1.63122166300167915e+00	3.722077e-17	9.974660e-18
34	6	-0x1.9400a6821dc0fp-12	0x1.61e8d8f241125p-2	-0x1.9400a6821dbfep-12	-0x1.9400a6821dbfep-12	0x1.1000000000000p-60	9.21571846612678769e-19	0x1.fdcb5d93bc86ep-4	1.24461522613076275e-01	7.404472e-18	7.047314e-19
35	4	0x1.da1d40380dabbp-36	-0x1.99f55af6cc575p-8	0x1.da1d4091921a2p-36	0x1.da1d4091921a2p-36	0x1.6611b9c000000p-62	3.03296444161174092e-19	0x1.095007ac093d9p-7	8.09669851884990861e-03	3.745927e-17	9.681266e-20
36	13	0x1.7833e600d5390p-4	0x1.9a215d86b14dfp+4	0x1.7833e600d538ep-4	0x1.7833e600d538ep-4	-0x1.0000000000000p-55	-2.77555756156289135e-17	0x1.25ed721cb47ecp-2	2.87038596155183567e-01	9.669632e-17	1.387779e-17
37	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
38	6	-0x1.9400a6821e075p-12	0x1.61e8d8f241200p-2	-0x1.9400a6821e0bep-12	-0x1.9400a6821e0bep-12	-0x1.2400000000000p-58	-3.95733792957209118e-18	0x1.fdcb5d93bca0cp-4	1.24461522613082021e-01	3.179567e-17	1.084202e-18
39	4	0x1.da1d40380dc89p-36	-0x1.99f55af6cc55dp-8	0x1.da1d4091923bap-36	0x1.da1d4091923bap-36	0x1.6611cc4000000p-62	3.03296683268069908e-19	0x1.095007ac092c3p-7	8.09669851884942636e-03	3.745930e-17	6.007165e-19
40	13	0x1.7833e600d5616p-4	0x1.9a215d86b1eb1p+4	0x1.7833e600d5618p-4	0x1.7833e600d5618p-4	0x1.0000000000000p-55	2.77555756156289135e-17	0x1.25ed721cb49f4p-2	2.87038596155212433e-01	9.669632e-17	0.000000e+00
41	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
42	13	-0x1.81514f9f9d827p+4	-0x1.7fdda027c2ec8p+4	-0x1.81514f9f9d826p+4	-0x1.81514f9f9d826p+4	0x1.0000000000000p-48	3.55271367880050093e-15	0x1.035ffcc21631ep+6	6.48437376333281179e+01	5.478885e-17	3.552714e-15
