 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.489460533491474e-05  1.200353528846454e+00  3.641245340681532e-04  5.024077294769853e-01  4.976077579613644e-01  0.000000000000000e+00 
 2.489560533491474e-05  1.199647690023439e+00 -3.622434465240873e-04  5.024061761911625e-01  4.976061417071358e-01  0.000000000000000e+00 
 2.489660533491474e-05  1.200350755639435e+00  3.601654160933600e-04  5.024071695243444e-01  4.976071984671510e-01  0.000000000000000e+00 
 2.489760533491474e-05  1.199650468079603e+00 -3.582999845824607e-04  5.024056701158908e-01  4.976056357439939e-01  0.000000000000000e+00 
 2.489830266745737e-05  1.200347370642739e+00  3.553955884314086e-04  5.024067556054282e-01  4.976067849523580e-01  0.000000000000000e+00 
 2.489900000000000e-05  1.199654462871599e+00 -3.527076468383478e-04  5.024053653711371e-01  4.976053309363335e-01  0.000000000000000e+00 
 2.489910000000000e-05  1.199996313691494e+00 -4.806288265440768e-06  5.024063968901038e-01  4.976055058529446e-01  0.000000000000000e+00 
 2.489930000000000e-05  1.200003493901963e+00  4.747316728033127e-06  5.024080701930459e-01  4.976037816672375e-01  0.000000000000000e+00 
 2.489965000000000e-05  1.199996369754893e+00 -4.626502290776927e-06  5.024142816184826e-01  4.975973908694183e-01  0.000000000000000e+00 
 2.490000000000000e-05  1.200003461375209e+00  4.616404818364237e-06  5.024237959959591e-01  4.975877705383214e-01  0.000000000000000e+00 
 2.490007000000000e-05  1.199999941658042e+00  1.084417403048843e-07  5.024258178212168e-01  4.975857032239349e-01  0.000000000000000e+00 
 2.490021000000000e-05  1.199999904012683e+00 -5.145565179323663e-08  5.024296181346942e-01  4.975818476996089e-01  0.000000000000000e+00 
 2.490049000000000e-05  1.199999943720878e+00  1.056763012087081e-07  5.024358399253032e-01  4.975755174871760e-01  0.000000000000000e+00 
 2.490105000000000e-05  1.199999902081369e+00 -4.992083830972833e-08  5.024442464906586e-01  4.975668986269782e-01  0.000000000000000e+00 
 2.490205000000000e-05  1.199999944829119e+00  1.048594577263219e-07  5.024514932671272e-01  4.975592915372144e-01  0.000000000000000e+00 
 2.490305000000000e-05  1.199999901258199e+00 -4.932934390620045e-08  5.024538811869590e-01  4.975565649575475e-01  0.000000000000000e+00 
